ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
ask-GC01b,ask,GC01b,1,,,
ask-GC01c,ask,GC01c,0,,,
ask-GC02a,ask,GC02a,1,,,
ask-GC02b,ask,GC02b,0,,,
ask-GC02c,ask,GC02c,0,,,
ask-GC02d,ask,GC02d,1,,,
ask-GC03,ask,GC03,0,,,
ask-GC04a,ask,GC04a,0,,,
ask-GC04b,ask,GC04b,1,,,
ask-GC05a,ask,GC05a,0,,,
ask-GC05b,ask,GC05b,1,,,
ask-GC06a,ask,GC06a,0,,,
ask-GC06b,ask,GC06b,1,,,
ask-GC07a,ask,GC07a,0,,,
ask-GC07b,ask,GC07b,0,,,
ask-PH01a,ask,PH01a,1,,,
ask-PH01b,ask,PH01b,1,,,
ask-PH01c,ask,PH01c,1,,,
ask-PH02a,ask,PH02a,1,,,
ask-PH02b,ask,PH02b,1,,,
ask-PH03a,ask,PH03a,1,,,
ask-PH03b,ask,PH03b,1,,,
ask-PH03c,ask,PH03c,0,,,
ask-PH03d,ask,PH03d,1,,,
ask-PH04,ask,PH04,0,,,
ask-PH05a,ask,PH05a,0,,,
ask-PH05b,ask,PH05b,0,,,
ask-PH06,ask,PH06,0,,,
ask-PH07,ask,PH07,1,,,
ask-PH08a,ask,PH08a,0,,,
ask-PH08b,ask,PH08b,1,,,
ask-WO01a,ask,WO01a,0,,,
ask-WO01b,ask,WO01b,1,,,
ask-WO02a,ask,WO02a,1,,,
ask-WO02b,ask,WO02b,1,,,
ask-WO02c,ask,WO02c,0,,,
ask-WO03,ask,WO03,0,,,
ask-WO04a,ask,WO04a,1,,,
ask-WO04b,ask,WO04b,0,,,
ask-WO05a,ask,WO05a,1,,,
bft-GC01b,bft,GC01b,0,,,
bft-GC01c,bft,GC01c,0,,,
bft-GC02a,bft,GC02a,1,,,
bft-GC02b,bft,GC02b,0,,,
bft-GC02c,bft,GC02c,0,,,
bft-GC02d,bft,GC02d,1,,,
bft-GC03,bft,GC03,0,,,
bft-GC04a,bft,GC04a,0,,,
bft-GC04b,bft,GC04b,1,,,
bft-GC05a,bft,GC05a,0,,,
bft-GC05b,bft,GC05b,0,,,
bft-GC06a,bft,GC06a,0,,,
bft-GC06b,bft,GC06b,1,,,
bft-GC07a,bft,GC07a,0,,,
bft-GC07b,bft,GC07b,0,,,
bft-PH01a,bft,PH01a,1,,,
bft-PH01b,bft,PH01b,1,,,
bft-PH01c,bft,PH01c,0,,,
bft-PH02a,bft,PH02a,1,,,
bft-PH02b,bft,PH02b,0,,,
bft-PH03a,bft,PH03a,1,,,
bft-PH03b,bft,PH03b,1,,,
bft-PH03c,bft,PH03c,1,,,
bft-PH03d,bft,PH03d,0,,,
bft-PH04,bft,PH04,1,,,
bft-PH05a,bft,PH05a,1,,,
bft-PH05b,bft,PH05b,0,,,
bft-PH06,bft,PH06,1,,,
bft-PH07,bft,PH07,0,,,
bft-PH08a,bft,PH08a,0,,,
bft-PH08b,bft,PH08b,1,,,
bft-WO01a,bft,WO01a,0,,,
bft-WO01b,bft,WO01b,1,,,
bft-WO02a,bft,WO02a,1,,,
bft-WO02b,bft,WO02b,1,,,
bft-WO02c,bft,WO02c,0,,,
bft-WO03,bft,WO03,0,,,
bft-WO04a,bft,WO04a,0,,,
bft-WO04b,bft,WO04b,1,,,
bft-WO05a,bft,WO05a,1,,,
btv-GC01b,btv,GC01b,1,,,
btv-GC01c,btv,GC01c,0,,,
btv-GC02a,btv,GC02a,0,,,
btv-GC02b,btv,GC02b,0,,,
btv-GC02c,btv,GC02c,0,,,
btv-GC02d,btv,GC02d,1,,,
btv-GC03,btv,GC03,0,,,
btv-GC04a,btv,GC04a,0,,,
btv-GC04b,btv,GC04b,1,,,
btv-GC05a,btv,GC05a,0,,,
btv-GC05b,btv,GC05b,1,,,
btv-GC06a,btv,GC06a,0,,,
btv-GC06b,btv,GC06b,1,,,
btv-GC07a,btv,GC07a,0,,,
btv-GC07b,btv,GC07b,0,,,
btv-PH01a,btv,PH01a,1,,,
btv-PH01b,btv,PH01b,1,,,
btv-PH01c,btv,PH01c,1,,,
btv-PH02a,btv,PH02a,1,,,
btv-PH02b,btv,PH02b,1,,,
btv-PH03a,btv,PH03a,1,,,
btv-PH03b,btv,PH03b,0,,,
btv-PH03c,btv,PH03c,0,,,
btv-PH03d,btv,PH03d,0,,,
btv-PH04,btv,PH04,0,,,
btv-PH05a,btv,PH05a,1,,,
btv-PH05b,btv,PH05b,1,,,
btv-PH06,btv,PH06,?,,,
btv-PH07,btv,PH07,1,,,
btv-PH08a,btv,PH08a,0,,,
btv-PH08b,btv,PH08b,1,,,
btv-WO01a,btv,WO01a,0,,,
btv-WO01b,btv,WO01b,1,,,
btv-WO02a,btv,WO02a,1,,,
btv-WO02b,btv,WO02b,1,,,
btv-WO02c,btv,WO02c,0,,,
btv-WO03,btv,WO03,0,,,
btv-WO04a,btv,WO04a,0,,,
btv-WO04b,btv,WO04b,0,,,
btv-WO05a,btv,WO05a,1,,,
bkk-GC01b,bkk,GC01b,1,,,
bkk-GC01c,bkk,GC01c,0,,,
bkk-GC02a,bkk,GC02a,1,,,
bkk-GC02b,bkk,GC02b,0,,,
bkk-GC02c,bkk,GC02c,0,,,
bkk-GC02d,bkk,GC02d,1,,,
bkk-GC03,bkk,GC03,1,,,
bkk-GC04a,bkk,GC04a,0,,,
bkk-GC04b,bkk,GC04b,1,,,
bkk-GC05a,bkk,GC05a,0,,,
bkk-GC05b,bkk,GC05b,1,,,
bkk-GC06a,bkk,GC06a,0,,,
bkk-GC06b,bkk,GC06b,1,,,
bkk-GC07a,bkk,GC07a,0,,,
bkk-GC07b,bkk,GC07b,0,,,
bkk-PH01a,bkk,PH01a,1,,,
bkk-PH01b,bkk,PH01b,1,,,
bkk-PH01c,bkk,PH01c,1,,,
bkk-PH02a,bkk,PH02a,1,,,
bkk-PH02b,bkk,PH02b,0,,,
bkk-PH03a,bkk,PH03a,1,,,
bkk-PH03b,bkk,PH03b,1,,,
bkk-PH03c,bkk,PH03c,0,,,
bkk-PH03d,bkk,PH03d,0,,,
bkk-PH04,bkk,PH04,0,,,
bkk-PH05a,bkk,PH05a,1,,,
bkk-PH05b,bkk,PH05b,0,,,
bkk-PH06,bkk,PH06,1,,,
bkk-PH07,bkk,PH07,0,,,
bkk-PH08a,bkk,PH08a,0,,,
bkk-PH08b,bkk,PH08b,1,,,
bkk-WO01a,bkk,WO01a,0,,,
bkk-WO01b,bkk,WO01b,1,,,
bkk-WO02a,bkk,WO02a,1,,,
bkk-WO02b,bkk,WO02b,1,,,
bkk-WO02c,bkk,WO02c,0,,,
bkk-WO03,bkk,WO03,0,,,
bkk-WO04a,bkk,WO04a,0,,,
bkk-WO04b,bkk,WO04b,1,,,
