ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Audio_Files
bsk_h-Kinship-youngerbrother-1,,bsk_h,Kinship-youngerbrother,dʑoʈ oːlus,dʑoʈ_oːlus,dʑ o ʈ + oː l u s,,hindukush,,,^ dʑ o ʈ _ oː l u s $,default,
bsk_h-Kinship-oldersister-1,,bsk_h,Kinship-oldersister,ujum aʈʂo,ujum_aʈʂo,u j u m + a ʈʂ o,,hindukush,,,^ u j u m _ a ʈʂ o $,default,
bsk_h-Kinship-youngersister-1,,bsk_h,Kinship-youngersister,dʑoʈ aʈʂo,dʑoʈ_aʈʂo,dʑ o ʈ + a ʈʂ o,,hindukush,,,^ dʑ o ʈ _ a ʈʂ o $,default,
bsk_h-Kinship-fathersfather-1,,bsk_h,Kinship-fathersfather,daːdo,daːdo,d aː d o,,hindukush,,,^ d aː d o $,default,
bsk_h-Kinship-fathersmother-1,,bsk_h,Kinship-fathersmother,api,api,a p i,,hindukush,,,^ a p i $,default,
bsk_h-Kinship-mothersfather-1,,bsk_h,Kinship-mothersfather,daːdo,daːdo,d aː d o,,hindukush,,,^ d aː d o $,default,
bsk_h-Kinship-mothersmother-1,,bsk_h,Kinship-mothersmother,api,api,a p i,,hindukush,,,^ a p i $,default,
bsk_h-Kinship-sonsson-1,,bsk_h,Kinship-sonsson,amis,amis,a m i s,,hindukush,,,^ a m i s $,default,
bsk_h-Kinship-sonsdaughter-1,,bsk_h,Kinship-sonsdaughter,amis,amis,a m i s,,hindukush,,,^ a m i s $,default,
bsk_h-Kinship-daughtersson-1,,bsk_h,Kinship-daughtersson,amis,amis,a m i s,,hindukush,,,^ a m i s $,default,
bsk_h-Kinship-daughtersdaughter-1,,bsk_h,Kinship-daughtersdaughter,amis,amis,a m i s,,hindukush,,,^ a m i s $,default,
bsk_h-Kinship-fathersbrother-1,,bsk_h,Kinship-fathersbrother,"tɕaːtɕaː, dʑoʈ aɰa",tɕaːtɕaː,tɕ aː tɕ aː,,hindukush,,,^ tɕ aː tɕ aː $,default,
bsk_h-Kinship-fathersbrother-2,,bsk_h,Kinship-fathersbrother,"tɕaːtɕaː, dʑoʈ aɰa",dʑoʈ_aɰa,dʑ o ʈ + a ɰ a,,hindukush,,,^ dʑ o ʈ _ a ɰ a $,default,
bsk_h-Kinship-fathersolderbrother-1,,bsk_h,Kinship-fathersolderbrother,"tɕaːtɕaː, ujum aɰa",tɕaːtɕaː,tɕ aː tɕ aː,,hindukush,,,^ tɕ aː tɕ aː $,default,
bsk_h-Kinship-fathersolderbrother-2,,bsk_h,Kinship-fathersolderbrother,"tɕaːtɕaː, ujum aɰa",ujum_aɰa,u j u m + a ɰ a,,hindukush,,,^ u j u m _ a ɰ a $,default,
bsk_h-Kinship-fathersyoungerbrother-1,,bsk_h,Kinship-fathersyoungerbrother,tɕaːtɕaː,tɕaːtɕaː,tɕ aː tɕ aː,,hindukush,,,^ tɕ aː tɕ aː $,default,
bsk_h-Kinship-fatherssister-1,,bsk_h,Kinship-fatherssister,nana,nana,n a n a,,hindukush,,,^ n a n a $,default,
bsk_h-Kinship-fathersoldersister-1,,bsk_h,Kinship-fathersoldersister,ujum nana,ujum_nana,u j u m + n a n a,,hindukush,,,^ u j u m _ n a n a $,default,
bsk_h-Kinship-fathersyoungersister-1,,bsk_h,Kinship-fathersyoungersister,dʑoʈ nana,dʑoʈ_nana,dʑ o ʈ + n a n a,,hindukush,,,^ dʑ o ʈ _ n a n a $,default,
bsk_h-Kinship-mothersbrother-1,,bsk_h,Kinship-mothersbrother,nana,nana,n a n a,,hindukush,,,^ n a n a $,default,
bsk_h-Kinship-mothersolderbrother-1,,bsk_h,Kinship-mothersolderbrother,ujum nana,ujum_nana,u j u m + n a n a,,hindukush,,,^ u j u m _ n a n a $,default,
bsk_h-Kinship-mothersyoungerbrother-1,,bsk_h,Kinship-mothersyoungerbrother,dʑoʈ nana,dʑoʈ_nana,dʑ o ʈ + n a n a,,hindukush,,,^ dʑ o ʈ _ n a n a $,default,
bsk_h-Kinship-motherssister-1,,bsk_h,Kinship-motherssister,χaːla,χaːla,χ aː l a,,hindukush,,,^ χ aː l a $,default,
bsk_h-Kinship-mothersoldersister-1,,bsk_h,Kinship-mothersoldersister,χaːla,χaːla,χ aː l a,,hindukush,,,^ χ aː l a $,default,
bsk_h-Kinship-mothersyoungersister-1,,bsk_h,Kinship-mothersyoungersister,χaːla,χaːla,χ aː l a,,hindukush,,,^ χ aː l a $,default,
bsk_h-Kinship-brothersson-1,,bsk_h,Kinship-brothersson,asaʁun,asaʁun,a s a ʁ u n,,hindukush,,,^ a s a ʁ u n $,default,
bsk_h-Kinship-brothersdaughter-1,,bsk_h,Kinship-brothersdaughter,asaʁun,asaʁun,a s a ʁ u n,,hindukush,,,^ a s a ʁ u n $,default,
bsk_h-Kinship-sistersson-1,,bsk_h,Kinship-sistersson,asaʁun,asaʁun,a s a ʁ u n,,hindukush,,,^ a s a ʁ u n $,default,
bsk_h-Kinship-sistersdaughter-1,,bsk_h,Kinship-sistersdaughter,asaʁun,asaʁun,a s a ʁ u n,,hindukush,,,^ a s a ʁ u n $,default,
bsk_h-Kinship-husband-1,,bsk_h,Kinship-husband,oːjer,oːjer,oː j e r,,hindukush,,,^ oː j e r $,default,
bsk_h-Kinship-wife-1,,bsk_h,Kinship-wife,oːs,oːs,oː s,,hindukush,,,^ oː s $,default,
bsk_h-Kinship-fathersolderbrotherswife-1,,bsk_h,Kinship-fathersolderbrotherswife,"tɕaːtɕiː, ujum mama",tɕaːtɕiː,tɕ aː tɕ iː,,hindukush,,,^ tɕ aː tɕ iː $,default,
bsk_h-Kinship-fathersolderbrotherswife-2,,bsk_h,Kinship-fathersolderbrotherswife,"tɕaːtɕiː, ujum mama",ujum_mama,u j u m + m a m a,,hindukush,,,^ u j u m _ m a m a $,default,
bsk_h-Kinship-fathersyoungerbrotherswife-1,,bsk_h,Kinship-fathersyoungerbrotherswife,"tɕaːtɕiː, dʑoʈ mama",tɕaːtɕiː,tɕ aː tɕ iː,,hindukush,,,^ tɕ aː tɕ iː $,default,
bsk_h-Kinship-fathersyoungerbrotherswife-2,,bsk_h,Kinship-fathersyoungerbrotherswife,"tɕaːtɕiː, dʑoʈ mama",dʑoʈ_mama,dʑ o ʈ + m a m a,,hindukush,,,^ dʑ o ʈ _ m a m a $,default,
bsk_h-Kinship-fatherssistershusband-1,,bsk_h,Kinship-fatherssistershusband,nana,nana,n a n a,,hindukush,,,^ n a n a $,default,
bsk_h-Kinship-mothersbrotherswife-1,,bsk_h,Kinship-mothersbrotherswife,nana,nana,n a n a,,hindukush,,,^ n a n a $,default,
bsk_h-Kinship-motherssistershusband-1,,bsk_h,Kinship-motherssistershusband,χaːlu,χaːlu,χ aː l u,,hindukush,,,^ χ aː l u $,default,
bsk_h-Kinship-sonswife-1,,bsk_h,Kinship-sonswife,aχakin,aχakin,a χ a k i n,,hindukush,,,^ a χ a k i n $,default,
bsk_h-Kinship-daughtershusband-1,,bsk_h,Kinship-daughtershusband,arer,arer,a r e r,,hindukush,,,^ a r e r $,default,
bsk_h-Kinship-brotherswifemaleego-1,,bsk_h,Kinship-brotherswifemaleego,bʰaːbi,bʰaːbi,bʰ aː b i,,hindukush,,,^ bʰ aː b i $,default,
bsk_h-Kinship-brotherswifefemaleego-1,,bsk_h,Kinship-brotherswifefemaleego,bʰaːbi,bʰaːbi,bʰ aː b i,,hindukush,,,^ bʰ aː b i $,default,
bsk_h-Kinship-sistershusbandmaleego-1,,bsk_h,Kinship-sistershusbandmaleego,arik,arik,a r i k,,hindukush,,,^ a r i k $,default,
bsk_h-Kinship-sistershusbandfemaleego-1,,bsk_h,Kinship-sistershusbandfemaleego,kaːko,kaːko,k aː k o,,hindukush,,,^ k aː k o $,default,
bsk_h-Kinship-wifesfather-1,,bsk_h,Kinship-wifesfather,aːskir,aːskir,aː s k i r,,hindukush,,,^ aː s k i r $,default,
bsk_h-Kinship-wifesmother-1,,bsk_h,Kinship-wifesmother,aːskus,aːskus,aː s k u s,,hindukush,,,^ aː s k u s $,default,
bsk_h-Kinship-husbandsfather-1,,bsk_h,Kinship-husbandsfather,aːskir,aːskir,aː s k i r,,hindukush,,,^ aː s k i r $,default,
bsk_h-Kinship-husbandsmother-1,,bsk_h,Kinship-husbandsmother,aːskus,aːskus,aː s k u s,,hindukush,,,^ aː s k u s $,default,
bsk_h-Kinship-husbandsbrother-1,,bsk_h,Kinship-husbandsbrother,"deːwar, kaːko",deːwar,d eː w a r,,hindukush,,,^ d eː w a r $,default,
bsk_h-Kinship-husbandsbrother-2,,bsk_h,Kinship-husbandsbrother,"deːwar, kaːko",kaːko,k aː k o,,hindukush,,,^ k aː k o $,default,
bsk_h-Kinship-husbandssister-1,,bsk_h,Kinship-husbandssister,aʈʂo,aʈʂo,a ʈʂ o,,hindukush,,,^ a ʈʂ o $,default,
bsk_h-Kinship-wifesbrother-1,,bsk_h,Kinship-wifesbrother,arik,arik,a r i k,,hindukush,,,^ a r i k $,default,
bsk_h-Kinship-wifessister-1,,bsk_h,Kinship-wifessister,dʑamaːt mumuʈʂo,dʑamaːt_mumuʈʂo,dʑ a m aː t + m u m u ʈʂ o,,hindukush,,,^ dʑ a m aː t _ m u m u ʈʂ o $,default,
bsk_h-Kinship-forefather-1,,bsk_h,Kinship-forefather,uː opi,uː_opi,uː + o p i,,hindukush,,,^ uː _ o p i $,default,
bsk_h-Kinship-fathersbrothersson-1,,bsk_h,Kinship-fathersbrothersson,tɕaːtɕaː iji,tɕaːtɕaː_iji,tɕ aː tɕ aː + i j i,,hindukush,,,^ tɕ aː tɕ aː _ i j i $,default,
bsk_h-Kinship-fathersbrothersdaughter-1,,bsk_h,Kinship-fathersbrothersdaughter,tɕaːtɕaː ei,tɕaːtɕaː_ei,tɕ aː tɕ aː + ei,,hindukush,,,^ tɕ aː tɕ aː _ ei $,default,
bsk_h-Kinship-fatherssistersson-1,,bsk_h,Kinship-fatherssistersson,nana mumwiː,nana_mumwiː,n a n a + m u mʷ iː,,hindukush,,,^ n a n a _ m u mw iː $,default,
bsk_h-Kinship-fatherssistersdaughter-1,,bsk_h,Kinship-fatherssistersdaughter,nana mumoj,nana_mumoj,n a n a + m u m o j,,hindukush,,,^ n a n a _ m u m o j $,default,
bsk_h-Kinship-mothersbrothersson-1,,bsk_h,Kinship-mothersbrothersson,nana iji,nana_iji,n a n a + i j i,,hindukush,,,^ n a n a _ i j i $,default,
bsk_h-Kinship-mothersbrothersdaughter-1,,bsk_h,Kinship-mothersbrothersdaughter,nana ei,nana_ei,n a n a + ei,,hindukush,,,^ n a n a _ ei $,default,
bsk_h-Kinship-motherssistersson-1,,bsk_h,Kinship-motherssistersson,χaːla mumwiː,χaːla_mumwiː,χ aː l a + m u mʷ iː,,hindukush,,,^ χ aː l a _ m u mw iː $,default,
bsk_h-Kinship-motherssistersdaughter-1,,bsk_h,Kinship-motherssistersdaughter,χaːla mumoj,χaːla_mumoj,χ aː l a + m u m o j,,hindukush,,,^ χ aː l a _ m u m o j $,default,
bsk_h-Kinship-relative-1,,bsk_h,Kinship-relative,dʑaːm,dʑaːm,dʑ aː m,,hindukush,,,^ dʑ aː m $,default,
bsk_h-Kinship-wifesrelatives-1,,bsk_h,Kinship-wifesrelatives,oːstiŋ,oːstiŋ,oː s t i ŋ,,hindukush,,,^ oː s t i ŋ $,default,
bsk_h-Kinship-headofhousehold-1,,bsk_h,Kinship-headofhousehold,maːlik,maːlik,m aː l i k,,hindukush,,,^ m aː l i k $,default,
bsk_n-Kinship-father-1,,bsk_n,Kinship-father,aɰa,aɰa,a ɰ a,,hindukush,,,^ a ɰ a $,default,
bsk_n-Kinship-mother-1,,bsk_n,Kinship-mother,mama,mama,m a m a,,hindukush,,,^ m a m a $,default,
bsk_n-Kinship-parent-1,,bsk_n,Kinship-parent,aɰa mama,aɰa_mama,a ɰ a + m a m a,,hindukush,,,^ a ɰ a _ m a m a $,default,
bsk_n-Kinship-son-1,,bsk_n,Kinship-son,aji,aji,a j i,,hindukush,,,^ a j i $,default,
bsk_n-Kinship-daughter-1,,bsk_n,Kinship-daughter,aj,aj,a j,,hindukush,,,^ a j $,default,
bsk_n-Kinship-brother-1,,bsk_n,Kinship-brother,aʈʂu,aʈʂu,a ʈʂ u,,hindukush,,,^ a ʈʂ u $,default,
bsk_n-Kinship-sister-1,,bsk_n,Kinship-sister,ajas,ajas,a j a s,,hindukush,,,^ a j a s $,default,
bsk_n-Kinship-olderbrother-1,,bsk_n,Kinship-olderbrother,ujum aʈʂu,ujum_aʈʂu,u j u m + a ʈʂ u,,hindukush,,,^ u j u m _ a ʈʂ u $,default,
bsk_n-Kinship-youngerbrother-1,,bsk_n,Kinship-youngerbrother,dʑuʈ aʈʂu,dʑuʈ_aʈʂu,dʑ u ʈ + a ʈʂ u,,hindukush,,,^ dʑ u ʈ _ a ʈʂ u $,default,
bsk_n-Kinship-oldersister-1,,bsk_n,Kinship-oldersister,ujum ajas,ujum_ajas,u j u m + a j a s,,hindukush,,,^ u j u m _ a j a s $,default,
bsk_n-Kinship-youngersister-1,,bsk_n,Kinship-youngersister,dʑuʈ ajas,dʑuʈ_ajas,dʑ u ʈ + a j a s,,hindukush,,,^ dʑ u ʈ _ a j a s $,default,
bsk_n-Kinship-fathersfather-1,,bsk_n,Kinship-fathersfather,"daːdo, api bej",daːdo,d aː d o,,hindukush,,,^ d aː d o $,default,
bsk_n-Kinship-fathersfather-2,,bsk_n,Kinship-fathersfather,"daːdo, api bej",api_bej,a p i + b e j,,hindukush,,,^ a p i _ b e j $,default,
bsk_n-Kinship-fathersmother-1,,bsk_n,Kinship-fathersmother,api,api,a p i,,hindukush,,,^ a p i $,default,
bsk_n-Kinship-mothersfather-1,,bsk_n,Kinship-mothersfather,daːdo,daːdo,d aː d o,,hindukush,,,^ d aː d o $,default,
bsk_n-Kinship-mothersmother-1,,bsk_n,Kinship-mothersmother,api,api,a p i,,hindukush,,,^ a p i $,default,
bsk_n-Kinship-sonsson-1,,bsk_n,Kinship-sonsson,amis,amis,a m i s,,hindukush,,,^ a m i s $,default,
bsk_n-Kinship-sonsdaughter-1,,bsk_n,Kinship-sonsdaughter,amis,amis,a m i s,,hindukush,,,^ a m i s $,default,
bsk_n-Kinship-daughtersson-1,,bsk_n,Kinship-daughtersson,amis bej,amis_bej,a m i s + b e j,,hindukush,,,^ a m i s _ b e j $,default,
bsk_n-Kinship-daughtersdaughter-1,,bsk_n,Kinship-daughtersdaughter,amis bo,amis_bo,a m i s + b o,,hindukush,,,^ a m i s _ b o $,default,
bsk_n-Kinship-fathersbrother-1,,bsk_n,Kinship-fathersbrother,aɰa eʈʂu,aɰa_eʈʂu,a ɰ a + e ʈʂ u,,hindukush,,,^ a ɰ a _ e ʈʂ u $,default,
bsk_n-Kinship-fathersolderbrother-1,,bsk_n,Kinship-fathersolderbrother,ujum aɰa,ujum_aɰa,u j u m + a ɰ a,,hindukush,,,^ u j u m _ a ɰ a $,default,
bsk_n-Kinship-fathersyoungerbrother-1,,bsk_n,Kinship-fathersyoungerbrother,dʑuʈ aɰa,dʑuʈ_aɰa,dʑ u ʈ + a ɰ a,,hindukush,,,^ dʑ u ʈ _ a ɰ a $,default,
bsk_n-Kinship-fatherssister-1,,bsk_n,Kinship-fatherssister,nana,nana,n a n a,,hindukush,,,^ n a n a $,default,
bsk_n-Kinship-fathersoldersister-1,,bsk_n,Kinship-fathersoldersister,ujum nana,ujum_nana,u j u m + n a n a,,hindukush,,,^ u j u m _ n a n a $,default,
bsk_n-Kinship-fathersyoungersister-1,,bsk_n,Kinship-fathersyoungersister,dʑuʈ nana,dʑuʈ_nana,dʑ u ʈ + n a n a,,hindukush,,,^ dʑ u ʈ _ n a n a $,default,
bsk_n-Kinship-mothersbrother-1,,bsk_n,Kinship-mothersbrother,nana,nana,n a n a,,hindukush,,,^ n a n a $,default,
bsk_n-Kinship-mothersolderbrother-1,,bsk_n,Kinship-mothersolderbrother,ujum nana,ujum_nana,u j u m + n a n a,,hindukush,,,^ u j u m _ n a n a $,default,
bsk_n-Kinship-mothersyoungerbrother-1,,bsk_n,Kinship-mothersyoungerbrother,dʑuʈ nana,dʑuʈ_nana,dʑ u ʈ + n a n a,,hindukush,,,^ dʑ u ʈ _ n a n a $,default,
bsk_n-Kinship-motherssister-1,,bsk_n,Kinship-motherssister,mama muʈʂu,mama_muʈʂu,m a m a + m u ʈʂ u,,hindukush,,,^ m a m a _ m u ʈʂ u $,default,
bsk_n-Kinship-mothersoldersister-1,,bsk_n,Kinship-mothersoldersister,ujum mama,ujum_mama,u j u m + m a m a,,hindukush,,,^ u j u m _ m a m a $,default,
bsk_n-Kinship-mothersyoungersister-1,,bsk_n,Kinship-mothersyoungersister,dʑuʈ mama,dʑuʈ_mama,dʑ u ʈ + m a m a,,hindukush,,,^ dʑ u ʈ _ m a m a $,default,
bsk_n-Kinship-brothersson-1,,bsk_n,Kinship-brothersson,aʈʂu iji,aʈʂu_iji,a ʈʂ u + i j i,,hindukush,,,^ a ʈʂ u _ i j i $,default,
bsk_n-Kinship-brothersdaughter-1,,bsk_n,Kinship-brothersdaughter,aʈʂu ej,aʈʂu_ej,a ʈʂ u + e j,,hindukush,,,^ a ʈʂ u _ e j $,default,
bsk_n-Kinship-sistersson-1,,bsk_n,Kinship-sistersson,asaʁun,asaʁun,a s a ʁ u n,,hindukush,,,^ a s a ʁ u n $,default,
bsk_n-Kinship-sistersdaughter-1,,bsk_n,Kinship-sistersdaughter,asaʁun,asaʁun,a s a ʁ u n,,hindukush,,,^ a s a ʁ u n $,default,
bsk_n-Kinship-husband-1,,bsk_n,Kinship-husband,awjer,awjer,a w j e r,,hindukush,,,^ a w j e r $,default,
bsk_n-Kinship-wife-1,,bsk_n,Kinship-wife,awus,awus,a w u s,,hindukush,,,^ a w u s $,default,
bsk_n-Kinship-fathersolderbrotherswife-1,,bsk_n,Kinship-fathersolderbrotherswife,ujum aɰa juːs,ujum_aɰa_juːs,u j u m + a ɰ a + j uː s,,hindukush,,,^ u j u m _ a ɰ a _ j uː s $,default,
bsk_n-Kinship-fathersyoungerbrotherswife-1,,bsk_n,Kinship-fathersyoungerbrotherswife,dʑuʈ aɰa juːs,dʑuʈ_aɰa_juːs,dʑ u ʈ + a ɰ a + j uː s,,hindukush,,,^ dʑ u ʈ _ a ɰ a _ j uː s $,default,
bsk_n-Kinship-fatherssistershusband-1,,bsk_n,Kinship-fatherssistershusband,nanamu mujer,nanamu_mujer,n a n a m u + m u j e r,,hindukush,,,^ n a n a m u _ m u j e r $,default,
bsk_n-Kinship-mothersbrotherswife-1,,bsk_n,Kinship-mothersbrotherswife,nana juːs,nana_juːs,n a n a + j uː s,,hindukush,,,^ n a n a _ j uː s $,default,
bsk_n-Kinship-motherssistershusband-1,,bsk_n,Kinship-motherssistershusband,ujum mamːu mujer,ujum_mamːu_mujer,u j u m + m a mː u + m u j e r,,hindukush,,,^ u j u m _ m a mː u _ m u j e r $,default,
bsk_n-Kinship-sonswife-1,,bsk_n,Kinship-sonswife,aχakin,aχakin,a χ a k i n,,hindukush,,,^ a χ a k i n $,default,
bsk_n-Kinship-brotherswifemaleego-1,,bsk_n,Kinship-brotherswifemaleego,ujum kaːku juːs,ujum_kaːku_juːs,u j u m + k aː k u + j uː s,,hindukush,,,^ u j u m _ k aː k u _ j uː s $,default,
bsk_n-Kinship-brotherswifefemaleego-1,,bsk_n,Kinship-brotherswifefemaleego,ujum kaːku juːs,ujum_kaːku_juːs,u j u m + k aː k u + j uː s,,hindukush,,,^ u j u m _ k aː k u _ j uː s $,default,
bsk_n-Kinship-sistershusbandmaleego-1,,bsk_n,Kinship-sistershusbandmaleego,arik,arik,a r i k,,hindukush,,,^ a r i k $,default,
bsk_n-Kinship-sistershusbandfemaleego-1,,bsk_n,Kinship-sistershusbandfemaleego,arik,arik,a r i k,,hindukush,,,^ a r i k $,default,
bsk_n-Kinship-wifesfather-1,,bsk_n,Kinship-wifesfather,aːskir,aːskir,aː s k i r,,hindukush,,,^ aː s k i r $,default,
bsk_n-Kinship-wifesmother-1,,bsk_n,Kinship-wifesmother,aːskus,aːskus,aː s k u s,,hindukush,,,^ aː s k u s $,default,
bsk_n-Kinship-husbandsfather-1,,bsk_n,Kinship-husbandsfather,aːskir,aːskir,aː s k i r,,hindukush,,,^ aː s k i r $,default,
bsk_n-Kinship-husbandsmother-1,,bsk_n,Kinship-husbandsmother,aːskus,aːskus,aː s k u s,,hindukush,,,^ aː s k u s $,default,
bsk_n-Kinship-husbandsbrother-1,,bsk_n,Kinship-husbandsbrother,"haːlum uːlus, haːlum awulus ",haːlum_uːlus,h aː l u m + uː l u s,,hindukush,,,^ h aː l u m _ uː l u s $,default,
bsk_n-Kinship-husbandsbrother-2,,bsk_n,Kinship-husbandsbrother,"haːlum uːlus, haːlum awulus ",haːlum_awulus,h aː l u m + a w u l u s,,hindukush,,,^ h aː l u m _ a w u l u s $,default,
bsk_n-Kinship-husbandssister-1,,bsk_n,Kinship-husbandssister,"haːlum oʈʂu, haːlum aʈʂu",haːlum_oʈʂu,h aː l u m + o ʈʂ u,,hindukush,,,^ h aː l u m _ o ʈʂ u $,default,
bsk_n-Kinship-husbandssister-2,,bsk_n,Kinship-husbandssister,"haːlum oʈʂu, haːlum aʈʂu",haːlum_aʈʂu,h aː l u m + a ʈʂ u,,hindukush,,,^ h aː l u m _ a ʈʂ u $,default,
bsk_n-Kinship-wifesbrother-1,,bsk_n,Kinship-wifesbrother,arik,arik,a r i k,,hindukush,,,^ a r i k $,default,
bsk_n-Kinship-wifessister-1,,bsk_n,Kinship-wifessister,awsmu muʈʂu,awsmu_muʈʂu,a w s m u + m u ʈʂ u,,hindukush,,,^ a ws m u _ m u ʈʂ u $,default,
bsk_n-Kinship-forefather-1,,bsk_n,Kinship-forefather,"mepi kuts, mep kuts",mepi_kuts,m e p i + k u ts,,hindukush,,,^ m e p i _ k u ts $,default,
bsk_n-Kinship-forefather-2,,bsk_n,Kinship-forefather,"mepi kuts, mep kuts",mep_kuts,m e p + k u ts,,hindukush,,,^ m e p _ k u ts $,default,
bsk_n-Kinship-foremother-1,,bsk_n,Kinship-foremother,"jaːrum daːdo api, mep kuts",jaːrum_daːdo_api,j aː r u m + d aː d o + a p i,,hindukush,,,^ j aː r u m _ d aː d o _ a p i $,default,
bsk_n-Kinship-foremother-2,,bsk_n,Kinship-foremother,"jaːrum daːdo api, mep kuts",mep_kuts,m e p + k u ts,,hindukush,,,^ m e p _ k u ts $,default,
bsk_n-Kinship-fathersbrothersson-1,,bsk_n,Kinship-fathersbrothersson,ujum aɰa iji,ujum_aɰa_iji,u j u m + a ɰ a + i j i,,hindukush,,,^ u j u m _ a ɰ a _ i j i $,default,
bsk_n-Kinship-fathersbrothersdaughter-1,,bsk_n,Kinship-fathersbrothersdaughter,ujum aɰa ej,ujum_aɰa_ej,u j u m + a ɰ a + e j,,hindukush,,,^ u j u m _ a ɰ a _ e j $,default,
bsk_n-Kinship-fatherssistersson-1,,bsk_n,Kinship-fatherssistersson,nanamu muji,nanamu_muji,n a n a m u + m u j i,,hindukush,,,^ n a n a m u _ m u j i $,default,
bsk_n-Kinship-fatherssistersdaughter-1,,bsk_n,Kinship-fatherssistersdaughter,nanamu moj,nanamu_moj,n a n a m u + m o j,,hindukush,,,^ n a n a m u _ m o j $,default,
bsk_n-Kinship-mothersbrothersson-1,,bsk_n,Kinship-mothersbrothersson,nana iji,nana_iji,n a n a + i j i,,hindukush,,,^ n a n a _ i j i $,default,
bsk_n-Kinship-mothersbrothersdaughter-1,,bsk_n,Kinship-mothersbrothersdaughter,nana ej,nana_ej,n a n a + e j,,hindukush,,,^ n a n a _ e j $,default,
bsk_n-Kinship-motherssistersson-1,,bsk_n,Kinship-motherssistersson,ujum mamumu muji,ujum_mamumu_muji,u j u m + m a m u m u + m u j i,,hindukush,,,^ u j u m _ m a m u m u _ m u j i $,default,
bsk_n-Kinship-motherssistersdaughter-1,,bsk_n,Kinship-motherssistersdaughter,ujum mamumu moj,ujum_mamumu_moj,u j u m + m a m u m u + m o j,,hindukush,,,^ u j u m _ m a m u m u _ m o j $,default,
bsk_n-Kinship-relative-1,,bsk_n,Kinship-relative,"dʑaːm, dʑaːm kaːm",dʑaːm,dʑ aː m,,hindukush,,,^ dʑ aː m $,default,
bsk_n-Kinship-relative-2,,bsk_n,Kinship-relative,"dʑaːm, dʑaːm kaːm",dʑaːm_kaːm,dʑ aː m + k aː m,,hindukush,,,^ dʑ aː m _ k aː m $,default,
bsk_n-Kinship-wifesrelatives-1,,bsk_n,Kinship-wifesrelatives,aːstin,aːstin,aː s t i n,,hindukush,,,^ aː s t i n $,default,
bsk_n-Kinship-headofhousehold-1,,bsk_n,Kinship-headofhousehold,daman,daman,d a m a n,,hindukush,,,^ d a m a n $,default,
dml-Kinship-father-1,,dml,Kinship-father,dadi,dadi,d a d i,,hindukush,,,^ d a d i $,default,
dml-Kinship-mother-1,,dml,Kinship-mother,jiː,jiː,j iː,,hindukush,,,^ j iː $,default,
dml-Kinship-parent-1,,dml,Kinship-parent,jiː dadi,jiː_dadi,j iː + d a d i,,hindukush,,,^ j iː _ d a d i $,default,
dml-Kinship-son-1,,dml,Kinship-son,put,put,p u t,,hindukush,,,^ p u t $,default,
dml-Kinship-daughter-1,,dml,Kinship-daughter,ʑu,ʑu,ʑ u,,hindukush,,,^ ʑ u $,default,
dml-Kinship-brother-1,,dml,Kinship-brother,braː,braː,b r aː,,hindukush,,,^ b r aː $,default,
dml-Kinship-sister-1,,dml,Kinship-sister,pas,pas,p a s,,hindukush,,,^ p a s $,default,
dml-Kinship-olderbrother-1,,dml,Kinship-olderbrother,ʑeʂʈeːra braː,ʑeʂʈeːra_braː,ʑ e ʂ ʈ eː r a + b r aː,,hindukush,,,^ ʑ e ʂ ʈ eː r a _ b r aː $,default,
dml-Kinship-youngerbrother-1,,dml,Kinship-youngerbrother,sureː braː,sureː_braː,s u r eː + b r aː,,hindukush,,,^ s u r eː _ b r aː $,default,
dml-Kinship-oldersister-1,,dml,Kinship-oldersister,ʑeʂʈeːri pas,ʑeʂʈeːri_pas,ʑ e ʂ ʈ eː r i + p a s,,hindukush,,,^ ʑ e ʂ ʈ eː r i _ p a s $,default,
dml-Kinship-youngersister-1,,dml,Kinship-youngersister,suruj pas,suruj_pas,s u r u j + p a s,,hindukush,,,^ s u r u j _ p a s $,default,
dml-Kinship-fathersfather-1,,dml,Kinship-fathersfather,"baloː dadi, bap",baloː_dadi,b a l oː + d a d i,,hindukush,,,^ b a l oː _ d a d i $,default,
dml-Kinship-fathersfather-2,,dml,Kinship-fathersfather,"baloː dadi, bap",bap,b a p,,hindukush,,,^ b a p $,default,
dml-Kinship-fathersmother-1,,dml,Kinship-fathersmother,"baloː jiː, jaj",baloː_jiː,b a l oː + j iː,,hindukush,,,^ b a l oː _ j iː $,default,
dml-Kinship-fathersmother-2,,dml,Kinship-fathersmother,"baloː jiː, jaj",jaj,j a j,,hindukush,,,^ j a j $,default,
dml-Kinship-mothersfather-1,,dml,Kinship-mothersfather,"baloː dadi, bap",baloː_dadi,b a l oː + d a d i,,hindukush,,,^ b a l oː _ d a d i $,default,
dml-Kinship-mothersfather-2,,dml,Kinship-mothersfather,"baloː dadi, bap",bap,b a p,,hindukush,,,^ b a p $,default,
dml-Kinship-mothersmother-1,,dml,Kinship-mothersmother,"baloː jiː, jaj",baloː_jiː,b a l oː + j iː,,hindukush,,,^ b a l oː _ j iː $,default,
dml-Kinship-mothersmother-2,,dml,Kinship-mothersmother,"baloː jiː, jaj",jaj,j a j,,hindukush,,,^ j a j $,default,
