Lg variety (name),ISO,Coord1,Coord2,GC01a,GC01b,GC01c,GC02a,GC02b,GC02c,GC02d,GC03,GC04a,GC04b,GC05a,GC05b,GC06a,GC06b,GC07a,GC07b,PH01a,PH01b,PH01c,PH02a,PH02b,PH03a,PH03b,PH03c,PH03d,PH04,PH05a,PH05b,PH06,PH07,PH08a,PH08b,WO01a,WO01b,WO02a,WO02b,WO02c,WO03,WO04a,WO04b,WO05a,WO05b,WO06,WO07a,WO07b,WO08,WO09,WO10,CS01a,CS01b,CS02a,CS02b,CS03a,CS03b,CS03c,CS04a,CS04b,CS05,CS06a,CS06b,CS06c,CS07,CS08,CS09,LX01a,LX01b,LX01c,LX01d,LX01e,LX02a,LX02b,LX03a,LX03b,LX04a,LX04b,LX05,LX06a,LX06b,LX07,LX08
Wakhi_P,wbl (p),74.48950,36.83676,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,?,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,?,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0
Yidgha,ydg,71.51571,35.98740,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,?,?,0,1,1,1,?,?,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Grammatical Gender,Sex-based Gender,Animacy-based Gender,Unique A Case,Unique S Case,Unique P Case,Unique R Case,Multi-value Distance Contrast,Prepositional Coding of Source,Postpositional Coding of Source,Prepositional Coding of Goal,Postpositional Coding of Goal,Prepositional Coding of Location,Postpositional Coding of Location,Possessive Prefixes,Possessive Suffixes,Retroflexion,Retroflex Plosives,Retroflex Fricatives,Dental Affricates,Retroflex Affricates,(C)VC structure,CCV structure,CCCV structure,(C)VCC structure,Lateral Fricatives,Aspiration Contrast (Voiceless),Aspiration Contrast (Voiced),Uvulars,Nasalized Vowels,Small Consonant Inventory,Large Consonant Inventory,VO Word Order,OV Word Order,Adpositions,Postpositions,Prepositions,Initial Interrogative in Content Question,Initial Polar Question Particle,Final Polar Question Particle,Adj N Word Order,N Adj Word Order,Dem N Word Order,Obj Obl Word Order,Obl Obj Word Order,SV Word Order,Gen N Word Order,Poss N Word Order,Ergative Alignment (Nouns),Accusative Alignment (Nouns),A Agreement (Past),P Agreement (Past),Zero Copula for Predicate Nominals,Zero Copula for Predicate Adjective,Shared Encoding of Nominal and Adjectival Predicates,Ergative Alignment of Verbal Marking,Accusative Alignment of Verbal Marking,Non-nominative Experiencer,T=P occurrence,R=P occurrence,T=R occurrence,P A Agreement Order,Verbal Person Agreement,Verbal Gender Agreement,Kinship: F=FB,Kinship: FB=MB,Kinship: M=MZ,Kinship: MZ=FZ,Kinship: MB=FZ,Decimal Numeral Base,Vigesimal Numeral Base,Numeral Composition 10+n,Numeral Composition 20+n,Kinship: Parent Compound,Kinship: M-F Compound,Kinship: Grandparents by Parent's Sex,Kinship: Grandchildren by Sex,Kinship: Grandchildren by Children's Sex,Colexification: hide=steal,Colexification: woman=wife
,,,,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no retr,0=no retr plo,0=no retr fri,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=A=S,0=P=S,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no,0=no (F-M),0=no,0=no (all same),0=no,0=no,0=no
,,,,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=retr,1=retr plo,1=retr fri,1=den aff,1=ret aff,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=AnotS,1=PnotS,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes,1=yes (F-M or M-F),1=yes (M-F),1=yes (4way),1=yes,1=yes,1=yes,1=yes
,,,,,,,,,,,3 or more adnominal dem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Typical indirect-obj construction,Typical secondary-object construction,Typical double-object construction,This presupposes simulteneous A and P agreement,"Evidence of diff between 1-3, 1-2 or 2-3","Evidence of diff between M-F, an-inan",,,,,,,,,,,,,,,,
GC,Grammatical categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P-A order does not exclude A-P order in other constructions,,,,,,,,,,,,,,,,,,
PH,Phonology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO,Word order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LX,Lexicon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Clause structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
