Language,ISO,Family,lng,lat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,60,70,80,90,100,110,120,200,1000
Gawri,gwc,Indo-Aryan,72.59606,35.48367,ak,duː,ɬɑː,t͡ʃor,pɑ̃d͡ʒ,ʂo,sɑt,aʈ͡ʂ,num,daʃ,ikaː,baː,ɬoː,t͡ʃuːn,pãjaː,ʂoːr,sataː,aʈ͡ʂaː,anbiʃ,biʃ,aːk teː biʃ,duː teː biʃ,ɬɑː teː biʃ,t͡ʃor teː biʃ,pɑ̃d͡ʒ teː biʃ,ʂo teː biʃ,sɑːt teː biʃ,aːʈ͡ʂ teː biʃ,noːm teː biʃ,daːʃ teː biʃ,ikaː teː biʃ,baː teː biʃ,ɬoː teː biʃ,t͡ʃuːn teː biʃ,pãd͡ʒaː teː biʃ,ʂoːr teː biʃ,sataː teː biʃ,aʈ͡ʂaː teː biʃ,aːk kam du biʃ,du biʃ,aːk teː du biʃ,duː teː du biʃ,ɬɑː teː du biʃ,t͡ʃor teː du biʃ,pɑ̃d͡ʒ teː du biʃ,ʂo teː du biʃ,saːt teː du biʃ,aːʈ͡ʂ teː du biʃ,noːm teː du biʃ,daːʃ teː du biʃ,ɬɑ biʃ,daːʃ teː ɬɑ biʃ,t͡ʃoːr biʃ,daːʃ teː t͡ʃoːr biʃ,pɑ̃d͡ʒ biʃ,daːʃ teː pɑ̃d͡ʒ biʃ,ʂo biʃ,daːʃ biʃ,zir
Gojri (Afgh),gju (a),Indo-Aryan,69.64719,34.83931,eːk,duː,trɛː,t͡ʃaːr,paːnd͡ʒ,t͡ʃʰiː,saːt,aːʈʰ,nuː,da,jaːra,baːra,teːra,t͡ʃuːda,pandra,suːɽa,staːra,aʈʰaːra,uniː,biː,eːkte biː,duːte biː,trɛːte biː,t͡ʃaːrte biː,paːnd͡ʒte biː,t͡ʃʰeːte biː,saːtte biː,aːʈʰte biː,nuːte biː,triː,eːkte triː,duːte triː,trɛːte triː,t͡ʃaːrte triː,paːnd͡ʒte triː,t͡ʃʰeːte triː,saːtte triː,aːʈʰte triː,nuːte triː,t͡ʃɽiː,eːkte t͡ʃɽiː,duːte t͡ʃɽiː,trɛːte t͡ʃɽiː,t͡ʃaːrte t͡ʃɽiː,paːnd͡ʒte t͡ʃɽiː,t͡ʃʰeːte t͡ʃɽiː,saːtte t͡ʃɽiː,aːʈʰte t͡ʃɽiː,nuːte t͡ʃɽiː,daːte t͡ʃɽiː,trɛː biː,daːte trɛː biː,t͡ʃaːr biː,daːte t͡ʃaːr biː,suː,eːk suːte da,eːk suːte biː,duː suː,zər
Gojri (Pak),gju (p),Indo-Aryan,73.99123,34.73142,eːk,doː,trɛː,t͡ʃaːr,pand͡ʒ,t͡ʃʰeː,sat,aʈʰ,nuː,das,jaːra,baːra,teːra,t͡ʃuːda,pandra,soːla,staːra,aʈʰaːra,uniː,biː,ikiː,baːj,trəbiː,t͡ʃəbiː,pənd͡ʒiː,t͡ʃʰəbiː,staːiː,aʈʰaːiː,nətiː,triː,ikətiː,bətiː,teːntiː,t͡ʃoːntiː,peːntiː,t͡ʃʰətiː,stətiː,aʈʰətiː,untaːliː,t͡ʃaːliː,iktaːliː,bətaːliː,tətaːliː,t͡ʃurtaːliː,pend͡ʒtaːliː,t͡ʃʰetaːliː,səntaːliː,aʈʰtaːliː,unuwand͡ʒa,pənd͡ʒaː,saʈ,sətər,asiː,nəweː,soː,eːk soː das,eːk soː biː,doː soː,həzaːr
Hindko,hno,Indo-Aryan,73.19852,34.23857,hek,doː,træː,t͡ɕaːr,pãd͡ʑ,t͡ɕʰeː,sat,aʈʰ,nũː,das,jaːrãː,baːrãː,teːrãː,t͡ɕoːda,pandrãː,solːah,saːtraː,aʈʰaːrãː,unːiː,biːs,ikiːs,baːhiːs,treːj,t͡ɕawiː,pand͡ʑiː,t͡ɕʰaːbiː,staːhiː,aʈʰaːiː,unatːiː,triː,katiː,batiː,teːntiː,t͡ɕoːntiː,peːntiː,t͡ɕʰatːiː,seːntiː,aʈʰatːiː,untaːliː,t͡ɕaːliː,iktaːliː,bitaːliː,tirtaːliː,t͡ɕortaːliː,pãd͡ʑtaːliː,t͡ɕʰataːliː,santaːliː,aʈʰtaːliː,unt͡ɕaːs,pãd͡ʑaːs,saʈʰ,satər,asiː,naweː,soː,hek soː daː,hek soː biː,doː soː,hek hazaːr
Indus Kohistani,mvy,Indo-Aryan,73.18961,35.29917,ek,duː,ʈ͡ʂaː,t͡sawr,pãːz,ʂo,saːt,ãʈ,nãw,daeʃ,agaːleʃ,duwaːleʃ,ʈ͡ʂigoːleʃ,t͡sandeʃ,pãzaleʃ,ʂoːeʃ,sataːleʃ,aʈʰaːleʃ,aːmbiːʃ,biːʃ,ekue biːʃ,due biːʃ,ʈ͡ʂaːe biːʃ,t͡sawrue biːʃ,pãːzue biːʃ,ʂoe biːʃ,saːtue biːʃ,aːʈʰue biːʃ,nae biːʃ,daʃue biːʃ,agaːlaʃue biːʃ,duwaːlaʃue biːʃ,ʈ͡ʂigoːlaʃue biːʃ,t͡sanʃue biːʃ,pãːz kam dubiʃ,t͡sawr kam dubiʃ,ʈ͡ʂaː kam dubiʃ,duː kam dubiʃ,ek kam dubiʃ,dubiʃ,ekue dubiʃ,due dubiʃ,ʈ͡ʂaːe dubiʃ,t͡sawrue dubiʃ,pãːzue dubiʃ,ʂoe dubiʃ,saːtue dubiʃ,aːʈʰue dubiʃ,nae dubiʃ,daʃue dubiʃ,ʈ͡ʂabiʃ,daʃue ʈ͡ʂabiʃ,t͡sawr biʃ,daʃue t͡sawr biʃ,ʃal,daʃue ʃal,ʂo biʃ,duː ʃal,zir
Ishkashimi,isk,Iranian,71.55875,36.73882,wɑːk,doː,ruː,t͡sfuːr,puːnz,χuːl,oːvd,ɑːt,naːw,daː,jɑːzdaː,duwɑːzdaː,seːzdaː,t͡ʃɑhɑːrdaː,pɑːnzdaː,ʃɑːnzdaː,havdaː,had͡ʒdaː,nəzdaː,biːst,biːstə jaːk,biːstə duː,biːstə seː,biːstə t͡ʃɑːr,biːstə pand͡ʒ,biːstə ʃaːʃ,biːstə haːft,biːstə haːʃt,biːstə nə,siː,siːwə jaːk,siːwə duː,siːwə seː,siːwə t͡ʃɑːr,siːwə paːnd͡ʒ,siːwə ʃaːʃ,siːwə haːft,siːwə haːʃt,siːwə nə,t͡ʃəl,t͡ʃələ jaːk,t͡ʃələ duː,t͡ʃələ seː,t͡ʃələ t͡ʃɑːr,t͡ʃələ paːnd͡ʒ,t͡ʃələ ʃaːʃ,t͡ʃələ haːft,t͡ʃələ haːʃt,t͡ʃələ nuː,pind͡ʒɑː,ʃaːst,aftɑːd,aʃtɑːd,nawad,sad,jaːk sadə daː,jaːk sadə biːst,də sad,jaːk hazɑːr
Kalasha,kls,Indo-Aryan,71.70143,35.70835,ek,duː,treː,t͡ɕaw,poːnd͡ʑ,ʂo,sat,ãʂʈ,noː,daɕ,daɕ ʑe eːka,daɕ ʑe duːa,daɕ ʑe treːa,daɕ ʑe t͡ɕawa,daɕ ʑe poːnd͡ʑa,daɕ ʑe ʂoːa,daɕ ʑe saːta,daɕ ʑe ãːʂʈa,daɕ ʑe noːa,biːɕiː,biːɕiː ʑe ek,biːɕiː ʑe duː,biːɕiː ʑe treː,biːɕiː ʑe t͡ɕaw,biːɕiː ʑe poːnd͡ʑ,biːɕiː ʑe ʂoː,biːɕiː ʑe sat,biːɕiː ʑe ãʂʈ,biːɕiː ʑe noː,biːɕiː ʑe daɕ,biːɕiː ʑe daɕ ʑe eːka,biːɕiː ʑe daɕ ʑe duːa,biːɕiː ʑe daɕ ʑe treːa,biːɕiː ʑe daɕ ʑe t͡ɕawa,biːɕiː ʑe daɕ ʑe poːnd͡ʑa,biːɕiː ʑe daɕ ʑe ʂoːa,biːɕiː ʑe daɕ ʑe saːta,biːɕiː ʑe daɕ ʑe ãːʂʈa,biːɕiː ʑe daɕ ʑe noːa,duː biːɕiː,duː biːɕiː ʑe ek,duː biːɕiː ʑe duː,duː biːɕiː ʑe treː,duː biːɕiː ʑe t͡ɕaw,duː biːɕiː ʑe poːnd͡ʑ,duː biːɕiː ʑe ʂoː,duː biːɕiː ʑe sat,duː biːɕiː ʑe ãʂʈ,duː biːɕiː ʑe noː,duː biːɕiː ʑe daɕ,treː biːɕiː,treː biːɕiː ʑe daɕ,t͡ɕaw biːɕiː,t͡ɕaw biːɕiː ʑe daɕ,ek ɕor,ek ɕor ʑe daɕ,ek ɕor ʑe biːɕiː,duː ɕor,ek hazaːr
Kalkoti,xka,Indo-Aryan,72.1748,35.40617,ak,duː,traː,t͡ʃʰor,paːn,ʂo,saːt,eʂ,nom,deʃ,akaːʃ,baːʃ,treːʃ,t͡ʃandeːʃ,pand͡ʒeːʃ,ʂoreːʃ,sataːʃ,eʂʈaːʃ,anbiːʃ,biːʃ,ak teː biːʃ,duː teː biːʃ,traː teː biːʃ,t͡ʃʰor teː biːʃ,paːnd͡ʒ teː biːʃ,ʂo teː biːʃ,saːt teː biːʃ,eʂ teː biːʃ,teː biːʃ nom,deʃ teː biːʃ,akaːʃ teː biːʃ,baːʃ teː biːʃ,treːʃ teː biːʃ,t͡ʃandeːʃ teː biːʃ,pand͡ʒeːʃ teː biːʃ,t͡ʃʰor kom du biʃ,traː kom du biʃ,duː kom du biʃ,ak kom du biʃ,du biʃ,ak teː du biʃ,duː teː du biʃ,traː teː du biʃ,t͡ʃʰor teː du biʃ,paːn teː du biʃ,ʂo teː du biʃ,saːt teː du biʃ,eʂ teː du biʃ,nom teː du biʃ,deʃ teː du biʃ,trabiʃ,deʃ teː trabiʃ,t͡ʃʰor biʃ,deʃ teː t͡ʃʰor biʃ,paːnd͡ʒ biʃ,deʃ teː paːnd͡ʒ biʃ,ʂo biʃ,du so,zir
Kamviri,xvi,Nuristani,71.33679,35.40986,eː,duj,treː,ʃtɑː,puːt͡ʃ,ʃuː,soːt,oːʃt,nu,dut͡s,janit͡s,dit͡s,trit͡s,ʃtrit͡s,pɑt͡ʃit͡s,ʃet͡s,satit͡s,ɑːʃtit͡s,neːt͡s,wit͡si,wit͡sa eː,wit͡sa duj,wit͡sa treː,wit͡sa ʃtɑː,wit͡sa puːt͡ʃ,wit͡sa ʃuː,wit͡sa soːt,wit͡sa oːʃt,wit͡sa nu,wit͡sa dos,wit͡sa janit͡s,wit͡sa dit͡s,wit͡sa trit͡s,wit͡sa ʃtrit͡s,wit͡sa pɑt͡ʃit͡s,wit͡sa ʃet͡s,wit͡sa satit͡s,wit͡sa ɑːʃtit͡s,wit͡sa neːt͡s,duj wit͡si,duj wit͡sa eː,duj wit͡sa duj,duj wit͡sa treː,duj wit͡sa ʃtɑː,duj wit͡sa puːt͡ʃ,duj wit͡sa ʃuː,duj wit͡sa soːt,duj wit͡sa oːʃt,duj wit͡sa nu,duj wit͡sa dut͡s,treː wit͡si,treː wit͡sa dut͡s,ʃtɑː wit͡si,ʃtɑː wit͡sa dut͡s,put͡si,put͡sa dut͡s,ʃuː wit͡si,dut͡si,eː aːzər
Kashmiri (Ind),kas (i),Indo-Aryan,74.87453,33.961,akʰ,zɨ,tre,t͡sɔːr,pãːt͡s,ʃʲe,satʰ,əːʈʰ,naw,dah,kah,bah,truːwah,t͡sɔːdah,pandah,ʃurah,sadah,ardah,kunwuh,wuh,akwuh,zɨtoːwuh,troːwuh,t͡soːwuh,pɨnt͡səh,ʃatwuh,satoːwuh,aʈʰoːwuh,kuntrɨh,trɨh,aktrɨh,dɔjtrɨh,treː trɨh,t͡sɔj trɨh,pãːt͡s trɨh,ʃej trɨh,sat trɨh,ar trɨh,kuntəːd͡ʒi,t͡sadd͡ʒi,aktəːd͡ʒi,dɔjtəːd͡ʒi,teːtəːd͡ʒi,t͡sɔjtəːd͡ʒi,pãːt͡stəːd͡ʒi,ʃeːtəːd͡ʒi,sattəːd͡ʒih,artəːd͡ʒih,kunwanzah,pant͡sah,ʃʲeːʈʰ,satatʰ,ʃiːtʰ,namat,hatʰ,akʰhatʰ dah,akʰhatʰ wuh,zɨ hatʰ,saːs
