Language,ISO,Family,lng,lat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,60,70,80,90,100,110,120,200,1000
Kashmiri (Pak),kas (p),Indo-Aryan,74.17695,34.79469,akʰ,zɨ,tre,t͡sɔːr,pãːt͡sʰ,ʃe,satʰ,əːʈ,naw,dah,kah,bah,trowah,t͡sodah,pandah,ʃɔɽah,sədah,aɽdah,konwuh,wuh,akwuh,zətawuh,triwuh,t͡suwuh,pɨːnt͡səh,ʃetwuh,sətɨwuh,aʈʰəwuh,kontrɨh,trɨh,aktrɨh,dojtrɨh,tiː trɨh,t͡soj trɨh,pãːt͡s trɨh,ʃej trɨh,satə trɨh,aɽ trɨh,kontɨd͡ʒih,t͡sadd͡ʒih,aktɨd͡ʒih,dojtɨd͡ʒih,titɨd͡ʒih,t͡sojtɨd͡ʒih,pãːt͡s tɨd͡ʒih,ʃej tɨd͡ʒih,sat tɨd͡ʒih,aɽ tɨd͡ʒih,konwanzah,pãːt͡sah,ʃeːʈʰ,satatʰ,ʃiːtʰ,namatʰ,hatʰ,akʰhatʰ tə dah,akʰhatʰ tə wuh,zɨhatʰ,saːs
Kati (Eastern),bsh (e),Nuristani,71.33226,35.64028,ew,duj,təra,ʃtawɑː,put͡ʃ,ʂu,sut,uʃt,nuː,dut͡s,janit͡s,dit͡s,tərit͡s,ʃturit͡s,pət͡ʃit͡s,ʂat͡s,sətit͡s,ʂʈit͡s,nat͡s,wat͡səː,wat͡səː ew,wat͡səː duj,wat͡səː təra,wat͡səː ʃtawɑː,wat͡səː put͡ʃ,wat͡səː ʂu,wat͡səː sut,wat͡səː uʃt,wat͡səː nuː,wat͡səː dut͡s,wat͡səː janit͡s,wat͡səː dit͡s,wat͡səː tərit͡s,wat͡səː ʃturit͡s,wat͡səː pət͡ʃit͡s,wat͡səː ʂat͡s,wat͡səː sətit͡s,wat͡səː ʂʈit͡s,wat͡səː nat͡s,duj wat͡səː,duj wat͡səː ew,duj wat͡səː duj,duj wat͡səː təra,duj wat͡səː ʃtawɑː,duj wat͡səː put͡ʃ,duj wat͡səː ʂu,duj wat͡səː sut,duj wat͡səː uʃt,duj wat͡səː nuː,duj wat͡səː dut͡s,tərat͡səː,tərat͡səː dut͡s,ʃtawɑːt͡səː,ʃtawɑːt͡səː dut͡s,pud͡ʒiwat͡səː,pud͡ʒiwat͡səː dut͡s,ʂuwat͡səː,dut͡suwat͡səː,puχta azɑːr
Kati (Western),bsh (w),Nuristani,70.34477,35.22691,ew,djuː,tra,ʃtwɑː,puːt͡ʃ,ʂuː,suːt,oːʂt,nuː,duːt͡s,janiːt͡s,diːt͡s,triːt͡s,ʃtreːt͡s,pət͡ʃiːt͡s,ʂaːt͡s,ʂʈiːt͡s,stiːt͡s,naːt͡s,wat͡səː,wat͡sɑː ew,wat͡sɑː djuː,wat͡sɑː tra,wat͡sɑː ʃtwɑː,wat͡sɑː puːt͡ʃ,wat͡sɑː ʂuː,wat͡sɑː suːt,wat͡sɑː oːʂt,wat͡sɑː nuː,wat͡sɑː duːt͡s,wat͡sɑː janiːt͡s,wat͡sɑː diːt͡s,wat͡sɑː triːt͡s,wat͡sɑː ʃtreːt͡s,wat͡sɑː pət͡ʃiːt͡s,wat͡sɑː ʂaːt͡s,wat͡sɑː ʂʈiːt͡s,wat͡sɑː stiːt͡s,wat͡sɑː naːt͡s,djuː wat͡səː,djuː wat͡sɑː ew,djuː wat͡sɑː djuː,djuː wat͡sɑː tra,djuː wat͡sɑː ʃtwɑː,djuː wat͡sɑː puːt͡ʃ,djuː wat͡sɑː ʂuː,djuː wat͡sɑː suːt,djuː wat͡sɑː oːʂt,djuː wat͡sɑː nuː,djuː wat͡sɑː duːt͡s,tra wat͡səː,tra wat͡sɑː dut͡s,ʃtwɑː wat͡sɑː,ʃtwɑː wat͡səː duːt͡s,pud͡ʒi wat͡səː,pud͡ʒi wat͡sɑː dut͡s,ʂuː wat͡səː,[djuː sat],hazɑːr
Khowar,khw,Indo-Aryan,72.51906,36.27825,---,d͡ʒu,troj,t͡ʃoːr,põːt͡ʃ,ʈ͡ʂʰoj,sot,oʃʈ,niof,d͡ʒoʃ,d͡ʒoʃ i,d͡ʒoʃ d͡ʒu,d͡ʒoʃ troj,d͡ʒoʃ t͡ʃoːr,d͡ʒoʃ põːt͡ʃ,d͡ʒoʃ ʈ͡ʂʰoj,d͡ʒoʃ sot,d͡ʒoʃ oʃʈ,d͡ʒoʃ niof,biʃir,biʃir i,biʃir d͡ʒu,biʃir troj,biʃir t͡ʃoːr,biʃir põːt͡ʃ,biʃir ʈ͡ʂʰoj,biʃir sot,biʃir oʃʈ,biʃir niof,biʃir d͡ʒoʃ,biʃir d͡ʒoʃ i,biʃir d͡ʒoʃ d͡ʒu,biʃir d͡ʒoʃ troj,biʃir d͡ʒoʃ t͡ʃoːr,biʃir d͡ʒoʃ põːt͡ʃ,biʃir d͡ʒoʃ ʈ͡ʂʰoj,biʃir d͡ʒoʃ sot,biʃir d͡ʒoʃ oʃʈ,biʃir d͡ʒoʃ niof,d͡ʒu biʃir,d͡ʒu biʃir i,d͡ʒu biʃir d͡ʒu,d͡ʒu biʃir troj,d͡ʒu biʃir t͡ʃoːr,d͡ʒu biʃir põːt͡ʃ,d͡ʒu biʃir ʈ͡ʂʰoj,d͡ʒu biʃir sot,d͡ʒu biʃir oʃʈ,d͡ʒu biʃir niof,d͡ʒu biʃir d͡ʒoʃ,troj biʃir,troj biʃir d͡ʒoʃ,t͡ʃoːr biʃir,t͡ʃoːr biʃir d͡ʒoʃ,põːt͡ʃ biʃir,"põːt͡ʃ biʃir d͡ʒoʃ, i ʃoːr ot͡ʃe d͡ʒoʃ","ʈ͡ʂʰoj biʃir, i ʃoːr ot͡ʃe biʃir",d͡ʒu ʃoːr,i hazaːr
Kohistani Shina,plk,Indo-Aryan,73.18946,35.05837,ek,duː,ʈ͡ʂeː,t͡ɕaːr,poɕ,ʂah,sat,ãʂ,nãw,daːe,akaːe,baːe,ʈ͡ʂoːe,t͡ɕahundeː,panzileː,ʂõːe,sataːẽ,ãʂʈaːẽ,ukniː,biː,biho ek,biho duː,biho ʈ͡ʂeː,biho t͡ɕaːr,biho poɕ,biho ʂah,biho sat,biho ãʂ,biho nãw,biho daːe,biho akaːe,biho baːe,biho ʈ͡ʂoːe,biho t͡ɕahundeː,biho panzileː,biho ʂõːe,biho sataːẽ,biho ãʂʈaːẽ,biho ukniː,dibu,dibugu ek,dibugu duː,dibugu ʈ͡ʂeː,dibugu t͡ɕaːr,dibugu poɕ,dibugu ʂah,dibugu sat,dibugu ãʂ,dibugu nãw,dibugu daːe,ʈ͡ʂobiju,ʈ͡ʂobijuga daːe,t͡ɕarbiju,t͡ɕarbijuga daːe,ɕal,ɕalga daːe,ɕalga biː,duː ɕal,zir
Kundal Shahi,shd,Indo-Aryan,73.82363,34.55627,jokʰ,duːi,traː,t͡ɕoːr,pãːd͡ʑ,ɕa,sat,ãːɕʈ,nõː,dʰaj,jagaːi,baːi,troːi,t͡ɕoːdʰãj,pandr hãj,ɕeː ɽiɕ,sataːi,ãɕʈaːi,jakoːi,biː,---,---,---,---,---,---,---,---,---,t͡ɕiːɕ,---,---,---,---,---,---,---,---,---,t͡ɕopeːr,---,---,---,---,---,---,---,---,---,---,---,---,---,---,ɕad,jokʰ ɕad dʰaj,jokʰ ɕad biː,duːi ɕad,jokʰ hazaːr
Kyrgyz,kir,Turkic,73.97764,36.89837,bir,eki,yt͡ʃ,tørt,beʃ,ɑltɯ,d͡ʒeti,segiz,toquz,on,on bir,on eki,on yt͡ʃ,on tørt,on beʃ,on ɑltɯ,on d͡ʒeti,on segiz,on toquz,d͡ʒigirma,d͡ʒigirma bir,d͡ʒigirma eki,d͡ʒigirma yt͡ʃ,d͡ʒigirma tørt,d͡ʒigirma beʃ,d͡ʒigirma ɑltɯ,d͡ʒigirma d͡ʒeti,d͡ʒigirma segiz,d͡ʒigirma toquz,otos,otos bir,otos eki,otos yt͡ʃ,otos tørt,otos beʃ,otos ɑltɯ,otos d͡ʒeti,otos segiz,otos toquz,qɯrq,qɯrq bir,qɯrq eki,qɯrq yt͡ʃ,qɯrq tørt,qɯrq beʃ,qɯrq ɑltɯ,qɯrq d͡ʒeti,qɯrq segiz,qɯrq toquz,elik,ɑltɯmɯʃ,d͡ʒetimiʃ,segzen,toqzon,d͡ʒyz,bir d͡ʒyz on,bir d͡ʒyz d͡ʒigirma,eki d͡ʒyz,miŋ
Ladakhi,lbj,Tibeto-Burman,77.25266,34.1224,t͡ʃik,ɲis,suŋ,ʒi,ʂŋa,ʈuk,rdun,rgjat,rgu,r̥t͡ʃu,t͡ʃukʃik,t͡ʃukŋis,t͡ʃuksuŋ,t͡ʃukʒi,t͡ʃoŋa,t͡ʃuruk,t͡ʃukdun,t͡ʃokgjat,t͡ʃurgu,ŋiʃu,ŋiʃu st͡saqʃik,ŋiʃu st͡saqŋis,ŋiʃu st͡saqsuŋ,ŋiʃu st͡saqʒi/st͡sabʒi,ŋiʃu st͡saŋa,ŋiʃu st͡saqŋis,ŋiʃu st͡saruk,ŋiʃu st͡saqdun,ŋiʃu st͡saqgjat,ŋiʃu st͡sargu,suŋt͡ʃu,suŋt͡ʃu sokʃik,suŋt͡ʃu sokŋis,suŋt͡ʃu soksuŋ,suŋt͡ʃu sokʒi,suŋt͡ʃu soŋa,suŋt͡ʃu soruk,suŋt͡ʃu sokdun,suŋt͡ʃu sorgjat,suŋt͡ʃu sorgu,ʒibt͡ʃu,ʒibt͡ʃu,ʒibt͡ʃu ʒaqʃik,ʒibt͡ʃu ʒaqŋis,ʒibt͡ʃu ʒaqsuŋ,ʒibt͡ʃu ʒaqʒi,ʒibt͡ʃu ʒaŋa/ʒaŋŋa,ʒibt͡ʃu ʒaruk,ʒibt͡ʃu ʒaqdun,ʒibt͡ʃu ʒargjat,ʒibt͡ʃu ʒargu,ŋapt͡ʃu,ʈukt͡ʃu,dunt͡ʃu,gjart͡ʃu,gupt͡ʃu,gja,gjanaŋst͡ʃu,gjanaŋ ŋiʃu
Munji,mnj,Iranian,70.90873,35.96907,juː,lə,çiraj,t͡ʃəfiːr,pɑːnd͡ʒ,ɑːχʃɛ,ɑːvdɛ,ɑːʃcɛ,nɛw,"juː o, juː sifɛr",juː o juː,juː o lə,juː o çiraj,juː o t͡ʃəfiːr,juː o pɑːnd͡ʒ,juː o ɑːχʃɛ,juː o ɑːvdɛ,juː o ɑːʃcɛ,juː o nɛw,lə o sifɛr,lə o juː,lə o lə,lə o çiraj,lə o t͡ʃəfiːr,lə o pɑːnd͡ʒ,lə o ɑːχʃɛ,lə o ɑːvdɛ,lə o ɑːʃcɛ,lə o nɛw,çiraj o sifɛr,çiraj o juː,çiraj o lə,çiraj o çiraj,çiraj o t͡ʃəfiːr,çiraj o pɑːnd͡ʒ,çiraj o ɑːχʃɛ,çiraj o ɑːvdɛ,çiraj o ɑːʃcɛ,çiraj o nɛw,t͡ʃəfiːr o sifɛr,t͡ʃəfiːr o juː,t͡ʃəfiːr o lə,t͡ʃəfiːr o çiraj,t͡ʃəfiːr o t͡ʃəfiːr,t͡ʃəfiːr o pɑːnd͡ʒ,t͡ʃəfiːr o ɑːχʃɛ,t͡ʃəfiːr o ɑːvdɛ,t͡ʃəfiːr o ɑːʃcɛ,t͡ʃəfiːr o nɛw,pɑːnd͡ʒ o sifɛr,ɑːχʃe o sifɛr,ɑːvde o sifɛr,ɑːʃce o sifɛr,new o sifer,juː o lə siferiː,juː o juː o juː sifer,juː o lə o juː sifer,lə o lə siferiː,juː o çiraj siferiː
Pahari-Pothwari,phr,Indo-Aryan,73.06263,33.57315,ek,doː,træː,t͡ɕaːr,pand͡ʑ,t͡ɕʰeː,sat,aʈʰ,nõː,das,jaːrãː,baːrãː,teːrãː,t͡ɕoːdãː,pandərãː,soːlãː,sətaːrãː,aʈʰaːrãː,unːĩː,viː,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Palula,phl,Indo-Aryan,71.73994,35.43939,aːk,duː,troː,t͡ʃuːr,paːnd͡ʒ,ʂo,saːt,aːʂʈ,nuː,daːʃ,akoːʃ,boːʃ,triːʃ,t͡ʃandiːʃ,pand͡ʒiːʃ,ʂoɽiːʃ,satoːʃ,aʂʈoːʃ,aɳabʰiːʃ,bʰiːʃ,bʰiʃeː aːk,bʰiʃeː duː,bʰiʃeː troː,bʰiʃeː t͡ʃuːr,bʰiʃeː paːnd͡ʒ,bʰiʃeː ʂo,bʰiʃeː saːt,bʰiʃeː aːʂʈ,bʰiʃeː nuː,bʰiʃeː daːʃ,bʰiʃeː akoːʃ,bʰiʃeː boːʃ,bʰiʃeː triːʃ,bʰiʃeː t͡ʃandiːʃ,bʰiʃeː pand͡ʒiːʃ,bʰiʃeː ʂoɽiːʃ,bʰiʃeː satoːʃ,bʰiʃeː aʂʈoːʃ,bʰiʃeː aɳabʰiːʃ,dubʰiʃa,dubʰiʃeː aːk,dubʰiʃeː duː,dubʰiʃeː troː,dubʰiʃeː t͡ʃuːr,dubʰiʃeː paːnd͡ʒ,dubʰiʃeː ʂo,dubʰiʃeː saːt,dubʰiʃeː aːʂʈ,dubʰiʃeː nuː,dubʰiʃeː daːʃ,troː bʰiʃa,troː bʰiʃeː daːʃ,t͡ʃuːr bʰiʃa,t͡ʃuːr bʰiʃeː daːʃ,paːnd͡ʒ bʰiʃa,paːnd͡ʒ bʰiʃeː daːʃ,ʂo bʰiʃa,duː sawa,zir
Parachi,prc,Iranian,69.64719,35.09915,ʒu,diː,ʃiː,t͡ʃoːr,poːnd͡ʒ,χiː,hoːt,oːʃt,nu,doːs,ʒoːns,duwɑːs,ʃidoːs,t͡ʃadoːs,pajns,χoːdoːs,hatos,haʃtos,nams,ʁoʃt,ʁoʃt u ʒu,ʁoʃt u diː,ʁoʃt u ʃiː,ʁoʃt u t͡ʃoːr,ʁoʃt u poːnd͡ʒ,ʁoʃt u χiː,ʁoʃt u hoːt,ʁoʃt u oːʃt,ʁoʃt u nu,ʃos,ʃos u ʒu,ʃos u diː,ʃos u ʃiː,ʃos u t͡ʃoːr,ʃos u poːnd͡ʒ,ʃos u χiː,ʃos u hoːt,ʃos u oːʃt,ʃos u nu,t͡ʃel,t͡ʃel u ʒu,t͡ʃel u diː,t͡ʃel u ʃiː,t͡ʃel u t͡ʃoːr,t͡ʃel u poːnd͡ʒ,t͡ʃel u χiː,t͡ʃel u hoːt,t͡ʃel u oːʃt,t͡ʃel u nu,pend͡ʒɑː,ʃast,haftɑːd,haʃtɑːd,nawad,sad,jak sad u ʒu,jak sad u ʁoʃt,dosad,"hazɑːr, ʒu hazɑːr"
Pashai Alasai,psh (ai),Indo-Aryan,69.75364,34.94335,iː,doː,tra,t͡ʃaːr,paːnd͡ʒe,ʂe,saːte,aːʂʈe,naːwe,daːje,ʒaːi,duwaːi,truːi,t͡ʃadaːje,pand͡ʒiː,ʂuːi,satːiː,aʂʈiː,naiː,west,westu iː,westu doː,westu tra,westu t͡ʃaːr,westu paːnd͡ʒe,westu ʂe,westu saːte,westu aːʂʈe,westu naːwe,siː,siːwu iː,siːwu doː,siːwu tra,siːwu t͡ʃaːr,siːwu paːnd͡ʒe,siːwu ʂe,siːwu saːte,siːwu aːʂʈe,siːwu naːwe,t͡ʃehel,t͡ʃehelu iː,t͡ʃehelu doː,t͡ʃehelu tra,t͡ʃehelu t͡ʃaːr,t͡ʃehelu paːnd͡ʒe,t͡ʃehelu ʂe,t͡ʃehelu saːte,t͡ʃehelu aːʂʈe,t͡ʃehelu naːwe,pind͡ʒɑ,ʃast,aftaːd,aʃtaːd,nawad,ʃaːi,jak sadu daːje,jak sadu west,do sad,iː hazaːr
Pashai Alingar,psi (ar),Indo-Aryan,70.08457,34.92865,iː,də,heː,t͡ʃaːr,pajnd͡ʒ,ʃeː,sat,aʃʈ,noː,deː,jaːe,duːwaːe,həwi,t͡ʃadeː,pand͡ʒuː,ʃuːɽ,satuː,aʃʈuː,nahuː,wəst,wəst iː,wist duː,wistu heː,wistu t͡ʃaːr,wistu pajnd͡ʒ,wistu ʃeː,wistu sat,wistu aʃʈ,wistu noː,wistu deː,wistu jaːe,wistu duːwaːe,wistu həwi,wistu t͡ʃadeː,wistu pand͡ʒuː,wistu ʃuːɽ,wistu satuː,wistu aʃʈuː,wistu nahuː,duːwija,duːwija iː,duːwija də,duːwija heː,duːwija t͡ʃaːr,duːwija pajnd͡ʒ,duːwija ʃeː,duːwija sat,duːwija aʃʈ,duːwija noː,duːwija deː,heːwija,heːwija deː,t͡ʃaːrwija,t͡ʃaːrwija deː,pajnd͡ʒuwija,pajnd͡ʒuwija deː,ʃuwija,də saw,iː hazaːr
Pashai Alishang,glh (ag),Indo-Aryan,73.99123,34.73142,iː,doː,tra,t͡ʃoːr,paːnd͡ʒə,t͡ʃaː,saːtə,aːʃʈə,naːu,deː,ʒuiː,duiː,truiː,t͡ʃadeː,pand͡ʒiː,t͡ʃuiː,satiː,aːʃʈiː,nawiː,wast,wastu iː,wastu doː,wastu tra,wastu t͡ʃoːr,wastu paːnd͡ʒə,wastu t͡ʃaː,wastu saːtə,wastu aːʃʈə,wastu naːu,wastu deː,wastu ʒuiː,wastu duiː,wastu truiː,wastu t͡ʃadeː,wastu pand͡ʒiː,wastu t͡ʃuiː,wastu satiː,wastu aːʃʈiː,wastu nawiː,deːo,deːo iː,deːo doː,deːo tra,deːo t͡ʃoːr,deːo paːnd͡ʒə,deːo t͡ʃaː,deːo saːtə,deːo aːʃʈə,deːo naːu,deːo deː,traewo,traewo deː,t͡ʃoːriju,t͡ʃoːriju deː,iː sad,iː sadu deː,iː sadu wast,doː sad,iː azaːr
Pashai Amla,psi (am),Indo-Aryan,70.57805,34.67743,iː,doː,ɬe,t͡ʃaːr,pand͡ʒ,ʃeː,sat,haʃt,noː,deː,jaːe,duwaːe,ɬue,t͡ʃadeː,pand͡ʒu,ʃoːɽ,satu,aʃʈu,nau,west,west oː iː,west oː doː,west oː ɬe,west oː t͡ʃaːr,west oː pand͡ʒ,west oː ʃeː,west oː sat,west oː haʃt,west oː noː,west oː deː,west oː jaːe,west oː duwaːe,west oː ɬue,west oː t͡ʃadeː,west oː pand͡ʒu,west oː ʃoːɽ,west oː satu,west oː aʃʈu,west oː nau,dəwija,dəwija oː iː,dəwija oː doː,dəwija oː ɬe,dəwija oː t͡ʃaːr,dəwija oː pand͡ʒ,dəwija oː ʃeː,dəwija oː sat,dəwija oː haʃt,dəwija oː noː,dəwija oː deː,ɬewija,ɬewija oː deː,t͡ʃaːrwija,t͡ʃaːrwija oː deː,pand͡ʒuwija,pand͡ʒuwija oː deː,ʃewija,doː sad,iː azaːr
Pashai Aret,aee (at),Indo-Aryan,70.72301,34.74631,eː,duː,trəː,t͡ʃoːr,paːnj,t͡ʃəː,saːt,aːʃt,naw,daːe,juːj,duːj,truj,t͡ʃadaj,paːnju,ʃiɽ,satiju,aʃʈiju,nawijaw,weːst,weːst me iː,weːst me duː,weːst me trəː,weːst me t͡ʃoːr,weːst me paːnj,weːst me t͡ʃəː,weːst me saːt,weːst me aːʃt,weːst me naw,weːst me daːe,weːst me juːj,weːst me duːj,weːst me truj,weːst me t͡ʃadaj,weːst me paːnju,weːst me ʃiɽ,weːst me satiju,weːst me aʃʈiju,weːst me nawijaw,duwija,duwija me iː,duwija me duː,duwija me trəː,duwija me t͡ʃoːr,duwija me paːnj,duwija me t͡ʃəː,duwija me saːt,duwija me aːʃt,duwija me naw,duwija me daːe,trewija,trewija me daːe,t͡ʃoːrwija,t͡ʃoːrwija me daːe,faːnjuwija,faːnjuwija meː daːe,faːnjuwija meː weːst,daːewija,zər
Pashai Chalas,aee (ch),Indo-Aryan,70.86116,34.75934,je,du,ɬə,t͡sor,paːjn,t͡ʃə,saːt,aːʃ,naːw,daːj,juwoːj,duwoːj,ɬəj,t͡saːdaːj,paːziw,ʃuːɽ,satiw,aʃʈiw,nawiw,wist,wista bi je,wista bi du,wista bi ɬə,wista bi t͡sor,wista bi paːjn,wista bi t͡ʃə,wista bi saːt,wista bi aːʃ,wista bi naːw,wista bi daːj,wista bi juwoːj,wista bi duwoːj,wista bi ɬəj,wista bi t͡saːdaːj,wista bi paːziw,wista bi ʃuːɽ,wista bi satiw,wista bi aʃʈiw,wista bi nawiw,dijo,dija bi je,dija bi du,dija bi ɬə,dija bi t͡sor,dija bi paːjn,dija bi t͡ʃə,dija bi saːt,dija bi aːʃ,dija bi naːw,dija bi daːj,ɬəjo,ɬəja bi daːj,t͡soːrijo,t͡soːrija bi daːj,paːjnijo,paːjnija bi daːj,paːjnija bi wist,daːjijo,zər
Pashai Korangal,aee (kg),Indo-Aryan,70.92458,34.90063,je,du,ɬe,t͡soːr,paːjn,t͡ʃe,saːt,aːʃ,naːw,daːj,juːj,duːj,ɬej,t͡saːdaj,pant͡siːw,ʃuj,satiːw,aʃʈiːw,nawiːw,wist,je bi wist,du bi wist,ɬe bi wist,t͡soːre bi wist,paːjne bi wist,t͡ʃe bi wist,saːte bi wist,aːʃe bi wist,naːw bi wist,daːje bi wist,juːje bi wist,duːje bi wist,ɬeje bi wist,t͡saːdaje bi wist,pant͡siːwe bi wist,ʃuje bi wist,satiːwe bi wist,aʃʈiːwe bi wist,nawiːwe bi wist,dujo,je bi dujo,du bi dujo,ɬe bi dujo,t͡soːre bi dujo,paːjne bi dujo,t͡ʃe bi dujo,saːte bi dujo,aːʃe bi dujo,naːw bi dujo,daːje bi dujo,ɬəjo,daːj bi ɬəjo,t͡soːrijo,daːj bi t͡soːrijo,paːjnijo,daːj bi paːjnijo,wiste bi paːjnijo,du sawa,zər
Pashai Sanjan,glh (sn),Indo-Aryan,69.36181,35.13991,juwal,dowal,tra,t͡ʃur,pɑːnd͡ʒe,ʂe,sɑːta,ɑːʃta,nɑːwa,dɑː,ʒuj,duj,duj triju,t͡ʃadɑː,pand͡ʒi,ʂuj,satiː,aʃʈiː,nawiː,wəst,wəstə iː,wəstə do,wəstə tra,wəstə t͡ʃur,wəstə pɑːnd͡ʒe,wəstə ʂe,wəstə sɑːta,wəstə ɑːʃta,wəstə nɑːwa,triju,triju iː,triju do,triju tra,triju t͡ʃur,triju pɑːnd͡ʒe,triju ʂe,triju sɑːta,triju ɑːʃta,triju nɑːwa,t͡ʃel,t͡ʃele iː,t͡ʃele do,t͡ʃele tra,t͡ʃele t͡ʃur,t͡ʃele pɑːnd͡ʒe,t͡ʃele ʂe,t͡ʃele sɑːta,t͡ʃele ɑːʃta,t͡ʃele nɑːwa,pend͡ʒɑː,ʃaːst,haːftɑːd,haːʃtɑːd,nawad,sad,iː sadu da,iː sadu wəst,do sad,iː hazɑːr
Pashai Shemal,aee (sh),Indo-Aryan,70.5622,34.75934,je,duː,ɬeː,t͡soːr,pɑːjn,t͡ʃə,saːt,aːʃt,naːw,daːj,joːj,duwoj,ɬiː,t͡sandaːj,paziju,səɽ,satiju,aʃʈiju,nawiju,wist,wistə je,wistə duː,wistə ɬeː,wistə t͡soːr,wistə pɑːjn,wistə t͡ʃə,wistə saːt,wistə aːʃt,wistə naːw,wistə daːj,wistə joːj,wistə duwoj,wistə ɬiː,wistə t͡sandaːj,wistə paziju,wistə səɽ,wistə satiju,wistə aʃʈiju,wistə nawiju,dijɑː,dijɑː bi je,dijɑː bi duː,dijɑː bi ɬeː,dijɑː bi t͡soːr,dijɑː bi pɑːjn,dijɑː bi t͡ʃə,dijɑː bi saːt,dijɑː bi aːʃt,dijɑː bi naːw,dijɑː bi daːj,ɬejɑː,ɬejɑː bi daːj,t͡soːrijɑː,t͡soːrijɑː bi daːj,paːnijɑː,paːnijɑː bi daːj,t͡ʃejɑː bi daːj,duː saw,azɑːr
Pashto (Afgh),pbu (a),Iranian,69.64719,34.83931,jaw,dwaː,dreː,t͡saloːr,pinzəː,ʃpag,wə,atə,nəh,las,jauːlas,duːlas,djaːrlas,t͡swaːrlas,pinzələs,ʃpaːɽəs,wələs,atələs,nuləs,ʃəl,jawiʃt,dwawiʃt,drəwiʃt,t͡salorwiʃt,pinzəwiʃt,ʃpəgwiʃt,wəwiʃt,atəwiʃt,nəhwiʃt,deːrʃ,jawdeːrʃ,dwadeːrʃ,drədeːrʃ,t͡saloːrdeːrʃ,pinzədeːrʃ,ʃpəgdeːrʃ,wədeːrʃ,atədeːrʃ,nəhdeːrʃ,t͡salweːxt,jawt͡salweːxt,dwat͡salweːxt,drət͡salweːxt,t͡saloːrt͡salweːxt,pinzət͡salweːxt,ʃpagt͡salweːxt,wət͡salweːxt,atət͡salweːxt,naht͡salweːxt,panzoːs,ʃpeːtə,awijaː,atijaː,nawi,səl,jaw səl las,jaw səl ʃəl,dwa sawa,zər
Pashto (Ind),pbu (i),Iranian,74.83829,34.26852,jaw,dwaː,dreː,t͡saloːr,pinzə,ʃpag,wə,atə,naha,las,jaoːlas,doːlas,djaːrlas,t͡swaːrlas,pinzəlas,ʃpaːɖlas,wərlas,atəlas,nurlas,ʃəl,jawiʃ,dwiʃ,diriʃ,t͡saleːrwiʃ,pinziːʃ,ʃpəgiːʃ,wiːʃ,atiːʃ,jaw kam deːrʃ,deːrʃ,jawadeːrʃ,dwaːdeːrʃ,drejaːdeːrʃ,t͡saloːradeːrʃ,pinzaːdeːrʃ,ʃpəgadeːrʃ,wuwaːdeːrʃ,ataːdeːrʃ,jaw kam t͡saleːχ,t͡saleːχ,jawat͡saleːχ,dwaːt͡saleːχ,drejaːt͡saleːχ,t͡saloːrat͡saleːχ,pinzaːt͡saleːχ,ʃpəgat͡saleːχ,wuwaːt͡saleːχ,ataːt͡saleːχ,jaw kam panzoːs,panzoːs,ʃpeːtə,lasa ʃpeːtə,atijaː,lasa atijaː,səl,jaw səl las,jaw səl ʃəl,dwasawa,zər
Pashto (Pak),pbu (p),Iranian,72.78178,34.33962,jaw,dwaː,dreː,t͡saloːr,pinzə,ʃpag,wə,atə,nəhə,las,jawləs,doːləs,djaːrləs,t͡swaːrləs,pinzələs,ʃpaːɽəs,wələs,atələs,nuləs,ʃəl,jawiʃ,dwawiʃ,diriʃ,t͡saliːriʃ,pinzəwiʃ,ʃpəgiʃ,wəiʃ,atəwiʃ,jawkam deːrʃ,deːrʃ,jawdeːrʃ,dwadeːrʃ,dreːdeːrʃ,t͡saloːrdeːrʃ,pinzədeːrʃ,ʃpəgdeːrʃ,wədeːrʃ,atədeːrʃ,jawkam t͡salweːχ,t͡salweːχ,jawt͡salweːχ,dwat͡salweːχ,dreːt͡salweːχ,t͡saloːrt͡salweːχ,pinzət͡salweːχ,ʃpagt͡salweːχ,wət͡salweːχ,atət͡salweːχ,jawkam panzoːs,panzoːs,ʃpeːtə,awijaː,atijaː,t͡saloːr nimi ʃəleː,səl,ləs də paːsa səl,ʃəl də paːsa səl,dwa sawa,zər
