Language,Project code,ISO 639-3,Glottocode,Location,Elicitation,Consultant code
Ashkun,ask,<a href='https://www.ethnologue.com/language/ask'>ask</a>,<a href='https://glottolog.org/resource/languoid/id/ashu1242'>ashu1242</a>,"Titin, Nurgram, Nuristan, Afghanistan","Kabul, Apr 2017",WS
Balti,bft,<a href='https://www.ethnologue.com/language/bft'>bft</a>,<a href='https://glottolog.org/resource/languoid/id/balt1258'>balt1258</a>,"Khaplu, Ghanche, Baltistan, Gilgit-Baltistan, Pakistan","Islamabad, Aug 2016",HS
Bateri,btv,<a href='https://www.ethnologue.com/language/btv'>btv</a>,<a href='https://glottolog.org/resource/languoid/id/bate1261'>bate1261</a>,"Palas, Lower Kohistan, Hazara, Khyber Pakhtunkhwa, Pakistan","Islamabad, Oct 2015",MB
Brokskat,bkk,<a href='https://www.ethnologue.com/language/bkk'>bkk</a>,<a href='https://glottolog.org/resource/languoid/id/brok1247'>brok1247</a>,"Batalik, Kargil, Ladakh, Jammu & Kashmir, India","Kargil, May 2018","TL, DA"
Burushaski Hunza,bsk (h),<a href='https://www.ethnologue.com/language/bsk'>bsk</a>,<a href='https://glottolog.org/resource/languoid/id/hunz1248'>hunz1248</a>,"Hunza, Gilgit, Gilgit-Baltistan, Pakistan","Gilgit, Aug 2016",SK
Burushaski Nagar,bsk (n),<a href='https://www.ethnologue.com/language/bsk'>bsk</a>,<a href='https://glottolog.org/resource/languoid/id/naga1398'>naga1398</a>,"Nagar, Gilgit, Gilgit-Baltistan, Pakistan","Gilgit, Aug 2016",SD
Dameli,dml,<a href='https://www.ethnologue.com/language/dml'>dml</a>,<a href='https://glottolog.org/resource/languoid/id/dame1241'>dame1241</a>,"Damel, Chitral, Malakand, Khyber Pakhtunkhwa, Pakistan","Islamabad, Oct 2015",HM
Darwazi,prs (d),<a href='https://www.ethnologue.com/language/prs'>prs</a>,<a href='https://glottolog.org/resource/languoid/id/darw1234'>darw1234</a>,"Darwaz, Badakhshan, Afghanistan","Faizabad, Apr 2017","ML, DR"
Gawarbati (Afgh),gwt (a),<a href='https://www.ethnologue.com/language/gwt'>gwt</a>,<a href='https://glottolog.org/resource/languoid/id/gawa1247'>gawa1247</a>,"Naray, Kunar, Afghanistan","Kabul, Apr 2017",AG
Gawarbati (Pak),gwt (p),<a href='https://www.ethnologue.com/language/gwt'>gwt</a>,<a href='https://glottolog.org/resource/languoid/id/gawa1247'>gawa1247</a>,"Arandu, Chitral, Malakand, Khyber Pakhtunkhwa, Pakistan","Islamabad, Oct 2015",AS
Gawri,gwc,<a href='https://www.ethnologue.com/language/gwc'>gwc</a>,<a href='https://glottolog.org/resource/languoid/id/kala1374'>kala1374</a>,"Kalam, Swat, Malakand, Khyber Pakhtunkhwa, Pakistan","Islamabad, Oct 2015",MZ
Gojri (Afgh),gju (a),<a href='https://www.ethnologue.com/language/gju'>gju</a>,<a href='https://glottolog.org/resource/languoid/id/west2375'>west2375</a>,"Naray, Kunar, Afghanistan","Kabul, Apr 2017",AQ
Gojri (Pak),gju (p),<a href='https://www.ethnologue.com/language/gju'>gju</a>,<a href='https://glottolog.org/resource/languoid/id/east2311'>east2311</a>,"Dawanan, Neelum, Azad Jammu & Kashmir, Pakistan","Islamabad, Aug 2016",RN
Hindko,hno,<a href='https://www.ethnologue.com/language/hno'>hno</a>,<a href='https://glottolog.org/resource/languoid/id/nort2662'>nort2662</a>,"Mansehra, Hazara, Khyber Pakhtunkhwa, Pakistan","Islamabad, Aug 2016","RH, MN"
Indus Kohistani,mvy,<a href='https://www.ethnologue.com/language/mvy'>mvy</a>,<a href='https://glottolog.org/resource/languoid/id/indu1242'>indu1242</a>,"Seo, Dassu, Upper Kohistan, Hazara, Khyber Pakhtunkhwa, Pakistan","Islamabad, Oct 2015",HU
Ishkashimi,isk,<a href='https://www.ethnologue.com/language/isk'>isk</a>,<a href='https://glottolog.org/resource/languoid/id/ishk1244'>ishk1244</a>,"Ishkashim, Badakhshan, Afghanistan","Faizabad, Apr 2017","SO, MA"
Kalasha,kls,<a href='https://www.ethnologue.com/language/kls'>kls</a>,<a href='https://glottolog.org/resource/languoid/id/nort2663'>nort2663</a>,"Bumburet, Chitral, Malakand, Khyber Pakhtunkhwa, Pakistan","Islamabad, Aug 2016",LR
Kalkoti,xka,<a href='https://www.ethnologue.com/language/xka'>xka</a>,<a href='https://glottolog.org/resource/languoid/id/kalk1245'>kalk1245</a>,"Kalkot, Sheringal, Upper Dir, Malakand, Khyber Pakhtunkhwa, Pakistan","Islamabad, Oct 2015",JK
Kamviri,xvi,<a href='https://www.ethnologue.com/language/xvi'>xvi</a>,<a href='https://glottolog.org/resource/languoid/id/nucl1277'>nucl1277</a>,"Kamdesh, Nuristan, Afghanistan","Kabul, Apr 2017",AB
Kashmiri (Ind),kas (i),<a href='https://www.ethnologue.com/language/kas'>kas</a>,<a href='https://glottolog.org/resource/languoid/id/stan1304'>stan1304</a>,"Srinagar, Kashmir, Jammu & Kashmir, India ","Srinagar, Apr/May 2018","AN, HK, ND, BL"
Kashmiri (Pak),kas (p),<a href='https://www.ethnologue.com/language/kas'>kas</a>,<a href='https://glottolog.org/resource/languoid/id/kash1277'>kash1277</a>,"Sharda, Neelum, Azad Jammu & Kashmir, Pakistan","Islamabad, Oct 2015",KR
Kati (Eastern),bsh (e),<a href='https://www.ethnologue.com/language/bsh'>bsh</a>,<a href='https://glottolog.org/resource/languoid/id/east2308'>east2308</a>,"Bargi Matal, Nuristan, Afghanistan","Kabul, Apr 2017",ZA
Kati (Western),bsh (w),<a href='https://www.ethnologue.com/language/bsh'>bsh</a>,<a href='https://glottolog.org/resource/languoid/id/west2372'>west2372</a>,"Du Ab, Nuristan, Afghanistan","Kabul, Apr 2017",AU
Khowar,khw,<a href='https://www.ethnologue.com/language/khw'>khw</a>,<a href='https://glottolog.org/resource/languoid/id/nort2664'>nort2664</a>,"Mastuj, Chitral, Malakand, Khyber Pakhtunkhwa, Pakistan","Islamabad, Oct 2015",AA
Kohistani Shina,plk,<a href='https://www.ethnologue.com/language/plk'>plk</a>,<a href='https://glottolog.org/resource/languoid/id/pala1333'>pala1333</a>,"Palas, Lower Kohistan, Hazara, Khyber Pakhtunkhwa, Pakistan","Islamabad, Aug 2016",RK
Kundal Shahi,shd,<a href='https://www.ethnologue.com/language/shd'>shd</a>,<a href='https://glottolog.org/resource/languoid/id/kund1257'>kund1257</a>,"Kundal Shahi, Athmuqam, Neelum, Azad Jammu & Kashmir, Pakistan","Islamabad, Aug 2016",GQ
Kyrgyz,kir,<a href='https://www.ethnologue.com/language/kir'>kir</a>,<a href='https://glottolog.org/resource/languoid/id/kirg1245'>kirg1245</a>,"Pamirkalan, Wakhan, Badakhshan, Afghanistan","Faizabad, Apr 2017","YB, AL, AW"
Ladakhi,lbj,<a href='https://www.ethnologue.com/language/lbj'>lbj</a>,<a href='https://glottolog.org/resource/languoid/id/lehh1238'>lehh1238</a>,"Leh, Ladakh, Jammu & Kashmir, India","Srinagar, Apr/May 2018",IS
Munji,mnj,<a href='https://www.ethnologue.com/language/mnj'>mnj</a>,<a href='https://glottolog.org/resource/languoid/id/nort2649'>nort2649</a>,"Sharan, Kuran wa Munjan, Badakhshan, Afghanistan","Faizabad, Apr 2017","AJ, AR, DM"
Pothwari ,phr,<a href='https://www.ethnologue.com/language/phr'>phr</a>,<a href='https://glottolog.org/resource/languoid/id/poth1238'>poth1238</a>,"Rawalpindi, Punjab, Pakistan","Islamabad, Aug 2016",UA
Palula,phl,<a href='https://www.ethnologue.com/language/phl'>phl</a>,<a href='https://glottolog.org/resource/languoid/id/ashr1238'>ashr1238</a>,"Ashret, Chitral, Malakand, Khyber Pakhtunkhwa, Pakistan","Islamabad, Oct 2015",NH
Parachi,prc,<a href='https://www.ethnologue.com/language/prc'>prc</a>,<a href='https://glottolog.org/resource/languoid/id/ghuj1238'>ghuj1238</a>,"Ghochulan, Nijrab, Kapisa, Afghanistan","Kabul, Apr 2017",SH
Pashai Alasai,psh (ai),<a href='https://www.ethnologue.com/language/psh'>psh</a>,<a href='https://glottolog.org/resource/languoid/id/alas1253'>alas1253</a>,"Alasai, Kapisa, Afghanistan","Kabul, Apr 2017",KD
Pashai Alingar,psi (ar),<a href='https://www.ethnologue.com/language/psi'>psi</a>,<a href='https://glottolog.org/resource/languoid/id/alin1238'>alin1238</a>,"Alingar, Laghman, Afghanistan","Kabul, Apr 2017",HA
Pashai Alishang,glh (ag),<a href='https://www.ethnologue.com/language/glh'>glh</a>,<a href='https://glottolog.org/resource/languoid/id/naji1238'>naji1238</a>,"Alishang, Laghman, Afghanistan","Kabul, Apr 2017",SF
Pashai Amla,psi (am),<a href='https://www.ethnologue.com/language/psi'>psi</a>,<a href='https://glottolog.org/resource/languoid/id/darr1238'>darr1238</a>,"Amla, Darra-e-Nur, Nangarhar, Afghanistan","Kabul, Apr 2017",NG
Pashai Aret,aee (at),<a href='https://www.ethnologue.com/language/aee'>aee</a>,<a href='https://glottolog.org/resource/languoid/id/aret1240'>aret1240</a>,"Aret, Nurgal, Kunar, Afghanistan","Kabul, Apr 2017",HH
Pashai Chalas,aee (ch),<a href='https://www.ethnologue.com/language/aee'>aee</a>,<a href='https://glottolog.org/resource/languoid/id/chal1263'>chal1263</a>,"Chalas, Tsaoki, Kunar, Afghanistan","Kabul, Apr 2017",ED
Pashai Korangal,aee (kg),<a href='https://www.ethnologue.com/language/aee'>aee</a>,<a href='https://glottolog.org/resource/languoid/id/kura1247'>kura1247</a>,"Korangal, Mano Gai, Kunar, Afghanistan","Kabul, Apr 2017",AM
Pashai Sanjan,glh (sn),<a href='https://www.ethnologue.com/language/glh'>glh</a>,<a href='https://glottolog.org/resource/languoid/id/sanj1275'>sanj1275</a>,"Sanjan, Hesa Awal Kohistan, Kapisa, Afghanistan","Kabul, Apr 2017",GS
Pashai Shemal,aee (sh),<a href='https://www.ethnologue.com/language/aee'>aee</a>,<a href='https://glottolog.org/resource/languoid/id/kand1293'>kand1293</a>,"Shemal, Darra-e-Nur, Nangarhar, Afghanistan","Kabul, Apr 2017",AD
Pashto (Afgh),pbu (a),<a href='https://www.ethnologue.com/language/pbu'>pbu</a>,<a href='https://glottolog.org/resource/languoid/id/nort2647'>nort2647</a>,"Tagab, Kapisa, Afghanistan","Kabul, Apr 2017",KO
Pashto (Ind),pbu (i),<a href='https://www.ethnologue.com/language/pbu'>pbu</a>,<a href='https://glottolog.org/resource/languoid/id/yusu1238'>yusu1238</a>,"Ganderbal, Kashmir, Jammu & Kashmir, India","Srinagar, Apr/May 2018",NK
Pashto (Pak),pbu (p),<a href='https://www.ethnologue.com/language/pbu'>pbu</a>,<a href='https://glottolog.org/resource/languoid/id/yusu1238'>yusu1238</a>,"Ghazi, Haripur, Hazara, Khyber Pakhtunkhwa, Pakistan","Islamabad, Aug 2016",KK
Prasun,prn,<a href='https://www.ethnologue.com/language/prn'>prn</a>,<a href='https://glottolog.org/resource/languoid/id/lowe1390'>lowe1390</a>,"Pashki, Parun, Nuristan, Afghanistan","Kabul, Apr 2017",SM
Purik,prx,<a href='https://www.ethnologue.com/language/prx'>prx</a>,<a href='https://glottolog.org/resource/languoid/id/puri1258'>puri1258</a>,"Kargil, Ladakh, Jammu & Kashmir, India","Srinagar, Apr/May 2018","MM, MH"
Roshani,sgh (r),<a href='https://www.ethnologue.com/language/sgh'>sgh</a>,<a href='https://glottolog.org/resource/languoid/id/rosh1238'>rosh1238</a>,"Roshan, Shughnan, Badakhshan, Afghanistan","Faizabad, Apr 2017","ZB, SN"
Sanglechi,sgy,<a href='https://www.ethnologue.com/language/sgy'>sgy</a>,<a href='https://glottolog.org/resource/languoid/id/sang1344'>sang1344</a>,"Sanglech, Zebak, Badakhshan, Afghanistan","Faizabad, Apr 2017","KM, GM"
Sawi,sdg,<a href='https://www.ethnologue.com/language/sdg'>sdg</a>,<a href='https://glottolog.org/resource/languoid/id/savi1242'>savi1242</a>,"Sau, Naray, Kunar, Afghanistan","Kabul, Apr 2017",FR
