Grapheme	IPA	CLTS	Examples
ɑ̃ː	ɑ̃ː	long nasalized unrounded open back vowel	durɑːrɑ̃ː_dɑːd, dʰumɑ̃ː_gʰan, meːʃɑ̃ː_poː
ɑ̰ː	ɑ̰ː	long creaky unrounded open back vowel	aŋɑ̰ːr, nɑ̰ːm, tɑ̰ːr
ɔ	ɔ	rounded open-mid back vowel	amɔniː, aŋɔ, bɔht
ɔː	ɔː	long rounded open-mid back vowel	andɔːm, bɔːz, bɔːzun
ɔ̃	ɔ̃	nasalized rounded open-mid back vowel	kɔ̃nʲ
ɔ̃˞	ɔ̃˞	rounded open-mid back vowel	kɔ̃˞, kɔ̃˞_karik, pɔ̃˞
ɕ	ɕ	voiceless alveolo-palatal sibilant fricative consonant	alto_altʰer_miɕindo, altu_altʰar_miɕindo, altʰar_miɕindo
ɕʲ	ɕʲ
ɖ	ɖ	voiced retroflex stop consonant	awar_oːjɑː_oːjɖək, awar_oːjɖək_ɑːw_awar_oːjɑː, awliː_buɖiː
ɖʐ	ɖʐ	voiced retroflex sibilant affricate consonant	ɖʐu, ɖʐũ
ɖʐʰ	ɖʐʰ
ɖʰ	ɖʰ	aspirated voiced retroflex stop consonant	ɖʰaːkuː, ɖʰeŋk_kuɕuruk
ɖ͡ʐ	ɖʐ	voiced retroflex sibilant affricate consonant	aːwara_ɖ͡ʐaː, baɽuː_ɖ͡ʐaː, maŋgeːtu_ɖ͡ʐaː
ɖ͡ʐʰ	ɖʐʰ	aspirated voiced retroflex sibilant affricate consonant	gʰa͡ẽr_ɖ͡ʐʰũː, mireː_so_ɖ͡ʐʰũː, mʰal_zoː_ɖ͡ʐʰũː
ə	ə	unrounded mid central vowel	adaːk_aχpəl_wom, adəkoː, agə
əi	ə i	from unrounded mid central to unrounded close front diphthong	wəiʃ
əː	əː	long unrounded mid central vowel	aktəːd͡ʒi, artəːd͡ʒih, biːstə_dəː
ə̃	ə̃	nasalized unrounded mid central vowel	hʲə̃ŋg, ɑːmətsə̃, ʃə̃ŋ
ə̥	ə̥/ə
ə̰	ə̰	creaky unrounded mid central vowel	piːstə̰
ɛ	ɛ	unrounded open-mid front vowel	awstɛ, aːdɛm, aːtɕɛ
ɛ:	ɛː
ɛː	ɛː	long unrounded open-mid front vowel	aɖukɛː, bɛːrg, daːte_trɛː_biː
ɛ̃ː	ɛ̃ː	long nasalized unrounded open-mid front vowel	mɛ̃ːtɕ
ɛ̤	ɛ̤	breathy unrounded open-mid front vowel	lɛ̤j
ɟ	ɟ	voiced palatal stop consonant	zunɟəːg
ɡ	g	voiced velar stop consonant	hẽŋɡ, lôːɡi̥_dǐː, lôːɡi̥_mã̌ː
ɣ	ɣ	voiced velar fricative consonant	amak_ɣin, anəɣ, atəɣ
ɣw	ɣ w	voiced velar fricative consonant	ɣwag
ɦ	ɦ
ɨ	ɨ	unrounded close central vowel	aktrɨh, aktɨd͡ʒih, akʰtaːbɨ
ɨː	ɨː	long unrounded close central vowel	asɨː, buː_bistet_t͡səbɨːr, buː_bistet_ɨːb
ɪ	ɪ	unrounded near-close near-front vowel	arɪk, aːdɪmi, baːʁɪr
ɪa	ɪ a	from unrounded near-close near-front to unrounded open front diphthong	ɲɪa, ɲɪanma
ɫ	lˠ	velarized voiced alveolar lateral approximant consonant	kɔɫ, lɔɫik, ɫuj
ɬ	ɬ	voiceless alveolar lateral fricative consonant	awχaji_ɬeɽiː, baːbi_puɬ, baːwas_dəʃtiː_laːstoː_ɬik
ɯ	ɯ	unrounded close back vowel	bɑldɯz, bɑːlɯq, dʑaːŋɯ
ɰ	ɰ	voiced velar approximant consonant	ajeː_juːs_mu_aɰa, ajeː_mu_muːjare_aɰa, aɰa
ɲ	ɲ	voiced palatal nasal consonant	ajɲtɕ, beɲ, bɨɽ_beɲ
ɳ	ɳ	voiced retroflex nasal consonant	abʰeːɳibabó, abʰeːɳijejí, abʰeːɳikuɳêːk
ɳʰ	ɳʰ	aspirated voiced retroflex nasal consonant	buɳʰajiː
ɳː	ɳː	long voiced retroflex nasal consonant	suɳːu
ɻ	ɻ	voiced retroflex approximant consonant	altɑːtbɻɑː, audio:_bɻoː_ɻu, braː_wẽɻ
ɻs	ɻ s	voiced retroflex approximant consonant	d͡ʒukə_sijuɻs, maɻsə, mərə_sijuɻs
ɻw	ɻ w	voiced retroflex approximant consonant	almant͡ʃɑː_aməɻwaj
ɽ	ɽ	voiced retroflex tap consonant	amaj_maːɽ, andəriː_bɽuːjə, andəriː_bɽuːjə_mɑːdəriː
ɽʰ	ɽʰ	aspirated voiced retroflex tap consonant	apijãː_kuɽʰ, deːheːɽʰ, faːfiːɽʰ_saz
ɽ̥	ɽ̥
ʁ	ʁ	voiced uvular fricative consonant	amaj_wədəʁd, amak_wədəʁd, amani_wuʁli
ʁw	ʁ w	voiced uvular fricative consonant	ʁwag, ʁwər_nikə, ʁwəra_nijaː
ʂ	ʂ	voiceless retroflex sibilant fricative consonant	amupuʂ, amuːpuʂ, aʂ
ʂː	ʂː	long voiceless retroflex sibilant fricative consonant	wəʂːeːʒ
ʃ	ʃ	voiceless post-alveolar sibilant fricative consonant	agaːlaʃue_biːʃ, agaːleʃ, agaːʃ
ʃʲ	ʃʲ	palatalized voiceless post-alveolar sibilant fricative consonant	ʃʲe, ʃʲeːʈʰ
ʈ	ʈ	voiceless retroflex stop consonant	amaː_ba_duʃʈøg, anʈa_ʃərik, anʈi_liː
ʈʂ	ʈʂ	voiceless retroflex sibilant affricate consonant	anʈʂiː, biːʈʂ, daʈʂan
ʈʂʰ	ʈʂʰ	aspirated voiceless retroflex sibilant affricate consonant	aʈʂʰiː, ãːẽʈʂʰ, ãːʈʂʰ
ʈʰ	ʈʰ	aspirated voiceless retroflex stop consonant	aɳʈʰiː, aʈʰ, aʈʰaeːʃ
ʈː	ʈː	long voiceless retroflex stop consonant	baʈːa, baʈːoː
ʈ͡ʂ	ʈʂ	voiceless retroflex sibilant affricate consonant	aɰa_eːʈ͡ʂu, aʈ͡ʂ, aʈ͡ʂaː
ʈ͡ʂʰ	ʈʂʰ	aspirated voiceless retroflex sibilant affricate consonant	biʃir_d͡ʒoʃ_ʈ͡ʂʰoj, biʃir_ʈ͡ʂʰoj, d͡ʒoʃ_ʈ͡ʂʰoj
ʉ	ʉ	rounded close central vowel	jʉldəz̥, kutsʉrə, kʉl
ʉː	ʉː	long rounded close central vowel	jʉː, pʉːst, sʉːri
ʊ	ʊ	rounded near-close near-back vowel	kʊta, kʊtɕur, kʊʈʰ
ʏ	ʏ
ʐ	ʐ	voiced retroflex sibilant fricative consonant	baɽu_ʐaː, báɽu̥_ʐâː, d͡ʑaʐáh
ʐʰ	ʐʰ	voiced retroflex sibilant fricative consonant	diniː_ʐʰaː, gʰarijãː_ʐʰaː, gʰarĩː_ʐʰaːzaj
ʑ	ʑ	voiced alveolo-palatal sibilant fricative consonant	biːɕiː_ʑe_ãʂʈ, biːɕiː_ʑe_daɕ, biːɕiː_ʑe_daɕ_ʑe_ãːʂʈa
ʑw	ʑ w	voiced alveolo-palatal sibilant fricative consonant	ʑwaː
ʑː	ʑː
ʒ	ʒ	voiced post-alveolar sibilant fricative consonant	abaw_aʒdaːd, abawaʒdaːt, abeːni_ʒu
ʔ	ʔ	voiceless glottal stop consonant	bãːʔn̥, raʔis
ʕ	ʕ	voiced pharyngeal fricative consonant	bat͡ʃaj_ʕama, duχtari_ʕama, nan_uːʕah
ʝ	ʝ
θ	θ	voiceless dental fricative consonant	isθa, nosθə, təɽusθə
χ	χ	voiceless uvular fricative consonant	adaːk_aχpəl_wom, ama_zuːs_uduχt, amaχ
χs	χ s	voiceless uvular fricative consonant	awχstəm_muːʃijɑː, baχspa, baχspah
χw	χ w	voiceless uvular fricative consonant	aχweː, də_lur_χwaːχeː, də_χwəleː_wroːr
χʂ	χ ʂ	voiceless uvular fricative consonant	les_uχʂo, lewisto_uχʂo, usto_les_uχʂo
χʃ	χ ʃ	voiceless uvular fricative consonant	juː_o_ɑːχʃɛ, lə_o_ɑːχʃɛ, t͡ʃəfiːr_o_ɑːχʃɛ
