Grapheme	IPA	CLTS	Examples
êː	êː/eː	unrounded close-mid front vowel	abʰeːɳikuɳêːk, apwêː_áta, áta_reːrêː_pʰǒːno
ẽ	ẽ	nasalized unrounded close-mid front vowel	atɕẽ, braː_wẽɻ, ẽɽ_biː
ẽː	ẽː	long nasalized unrounded close-mid front vowel	atɕẽː, baɖiː_pẽːɽ, bãː_gʰẽːrah
ẽ̂ː	ẽː	unrounded close-mid front vowel	huruʈ͡ʂẽ̂ːj
ěː	ěː/eː	unrounded close-mid front vowel	bʰěːɳ, ɕah_t͡ɕʰad_měːnmi_hr̥ɲen
ḛː	ḛː	unrounded close-mid front vowel	mḛːɕ
f	f	voiceless labio-dental fricative consonant	aftaːd, aftow, aftoːd
fs	f s	voiceless labio-dental fricative consonant	fsɛːk
g	g	voiced velar stop consonant	ag, agaːlaʃue_biːʃ, agaːleʃ
gw	g w	labialized voiced velar stop consonant	ʃpəgwiʃt
gʰ	gʰ	aspirated voiced velar stop consonant	bãː_gʰẽːrah, dʰumɑ̃ː_gʰan, goːʂʈîː_gʰaɖeːró
h	h	voiceless glottal fricative consonant	ah, ajeː_juːs_mu_mahma, ajeː_mu_muːjare_mahma
hw	h w	labialized voiceless glottal fricative consonant	nəhwiʃt
hʲ	hʲ	palatalized voiceless glottal fricative consonant	hʲə̃ŋg, tuhʲ
i	i	unrounded close front vowel	abeːni, abeːni_braː, abeːni_dadi
ia	i a	from unrounded close front to unrounded open front diphthong	dianiː, pianɛ, pipiana_hirew
iaː	i aː	from unrounded close front to long unrounded open front diphthong	maːʃoɽiaːki, niaːr_sakɑ, paruka_bliaːja
ieː	i eː	from unrounded close front to long unrounded close-mid front diphthong	dieːr, dieːr_bireː, dieːr_iʃpo
iẽː	i ẽː	from unrounded close front to long nasalized unrounded close-mid front diphthong	piɬiẽː_bireː
ii	iː	long unrounded close front vowel	bibii_kata
io	i o	from unrounded close front to rounded close-mid back diphthong	biʃir_d͡ʒoʃ_niof, biʃir_niof, dobio
io:	i oː	from unrounded close front to long rounded close-mid back diphthong	audio:_bɻoː_ɻu
ioː	i oː	from unrounded close front to long rounded close-mid back diphthong	dioːr_bob, dioːr_bʰab, dioːr_d͡ʒaː
iôː	i ôː/oː	unrounded close front vowel	bariôː
iuː	i uː	unrounded close front vowel	liuː_maːʃo, liuː_paːpo, liuː_ʃuː
iɑ̃ː	i ɑ̃ː	unrounded close front vowel	piɬiɑ̃ː_poː
iː	iː	long unrounded close front vowel	abeːni_jiː, abiːn, admiː
iːi	iː i	from long unrounded close front to unrounded close front diphthong	maːtreːriː_tiːi, nanaː_iːi, paːtriːi
iːiː	iː iː	unrounded close front vowel	ek_ʃal_biːiː
iːu	iː u	unrounded close front vowel	bʰariːu
í	í/i	unrounded close front with_high_tone vowel	abʰeːɳijejí, ají, apí_áŋo
î	î/i	unrounded close front with_falling_tone vowel	dîrə
îː	îː/iː	unrounded close front vowel	abʰîːɳi, apîː, báɽi̥_pʰîːpi̥
ĩ	ĩ	nasalized unrounded close front vowel	atsĩ, bʰĩɽ_jə, bʰĩʈuː
ĩː	ĩː	long nasalized unrounded close front vowel	asĩː, aɕí_pubí_strĩːmó, aɕí_pubí_strĩːmó_jodpó
ǐː	ǐː/iː	unrounded close front vowel	bʰeɳdʰǐː, bʰradʰǐː, dǐː
i̥	i̥	devoiced unrounded close front vowel	ãʈʰi̥, baɽiː_maːsi̥, baɽiː_pʰiːpʰi̥
ḭː	ḭː	long creaky unrounded close front vowel	mḭːɕ, pḭːl̥, sḭːr
j	j	voiced palatal approximant consonant	[djuː_sat], abaj, abeːni_jiː
js	j s	voiced palatal approximant consonant	aʃʈaːjs, baːjs, maːjs
jɕ	j ɕ	voiced palatal approximant consonant	nɔm_kajɕtasə
jʃ	j ʃ	voiced palatal approximant consonant	dujʃi, dujʃo_aʂʈ, dujʃo_daʂ
jʰ	jʰ	aspirated voiced palatal approximant consonant	jʰajniː
k	k	voiceless velar stop consonant	abʰeːɳikuɳêːk, abʰeːɳikuɳôːk, adaːk_aχpəl_wom
kh	kʰ	aspirated voiceless velar stop consonant	koːkhi_luʁdo, koːkhi_puːr
ks	k s	voiceless velar stop consonant	pakspa, puksmoː, seksen
kw	k w	labialized voiceless velar stop consonant	akwuh, kwiːkə
kʂ	k ʂ	voiceless velar stop consonant	bakʂt, kʂəjɨːk, kʂɨjn
kʃ	k ʃ	voiceless velar stop consonant	suŋt͡ʃu_sokʃik, t͡ʃukʃik
kʒ	k ʒ	voiceless velar stop consonant	suŋt͡ʃu_sokʒi, t͡ʃukʒi
kʰ	kʰ	aspirated voiceless velar stop consonant	akʰ, akʰtaːbɨ, ama_mit͡ʃikʰani_at͡ʃʰeː
kʰh	kʰ h	voiceless velar stop consonant	akʰhatʰ_dah, akʰhatʰ_tə_dah, akʰhatʰ_tə_wuh
kʲ	kʲ	palatalized voiceless velar stop consonant	kijuːɻ_toːt_[kʲyːɻ]
kː	kː	long voiceless velar stop consonant	jegirma_jekːi, jegirma_sakːiz, jekː_juz
l	l	voiced alveolar lateral approximant consonant	adaːk_aχpəl_wom, agaːlaʃue_biːʃ, agaːleʃ
lw	l w	labialized voiced alveolar lateral approximant consonant	atət͡salweːxt, atət͡salweːχ, dreːt͡salweːχ
lʰ	lʰ	aspirated voiced alveolar lateral approximant consonant	lʰoːkbâːbu, lʰoːkjêːji, saːlʰ
lʲ	lʲ	palatalized voiced alveolar lateral approximant consonant	puzelʲ
lː	lː	long voiced alveolar lateral approximant consonant	elːig, kʰalːəɽ_praː, kʰalːəɽ_pæːɳ
l̥	l̥	devoiced voiced alveolar lateral approximant consonant	ja̰ːl̥, pḭːl̥
m	m	voiced bilabial nasal consonant	abat͡ʃʰenmo, abimeme, adaːk_aχpəl_wom
ms	m s	voiced bilabial nasal consonant	nams, snamsul
mw	mʷ	labialized voiced bilabial nasal consonant	mĩːmwêː_namâː, môːmweː_boŋó, môːmweː_bûː
mʃ	m ʃ	voiced bilabial nasal consonant	mamʃe_ʃtriːs
mʰ	mʰ	aspirated voiced bilabial nasal consonant	habaĩː_mʰaːl, mireː_mʰal, mireː_mʰijaːl
mː	mː	long voiced bilabial nasal consonant	niki_amːiː
m̥	m̥	devoiced voiced bilabial nasal consonant	num̥
n	n	voiced alveolar nasal consonant	abat͡ʃʰenmo, aben, abeːni
ns	n s	from voiced alveolar nasal to voiceless alveolar sibilant fricative cluster	pajns, punseːl, sansara_guliː
nw	nʷ	labialized voiced alveolar nasal consonant	konwanzah, konwuh, kunwanzah
nʂ	n ʂ	voiced alveolar nasal consonant	iʃo_ɬawanʂ, ɬawanʂ
nʃ	n ʃ	voiced alveolar nasal consonant	daʂ_panʃi, kynʃtyː_braː, kynʃtyː_jej
nʰ	nʰ	aspirated voiced alveolar nasal consonant	nʰaːlũː
nʲ	nʲ	palatalized voiced alveolar nasal consonant	bəjkaːkənʲ, bəɖ_bəj_kaːkənʲ, bəɖ_naːnʲ
nː	nː	long voiced alveolar nasal consonant	inːi, unːiː, unːĩː
n̥	n̥	devoiced voiced alveolar nasal consonant	bãːʔn̥
n͏	n	voiced alveolar nasal consonant	iːn͏ɛ
o	o	rounded close-mid back vowel	abat͡ʃʰenmo, adaːk_aχpəl_wom, ad͡ʒdod
oa	o a	from rounded close-mid back to unrounded open front diphthong	moaso, rdoa
oaː	o aː	rounded close-mid back vowel	doaːʃ, doaːʃ_ga_biː
oe	o e	from rounded close-mid back to unrounded close-mid front diphthong	ʂoe_biːʃ, ʂoe_dubiʃ
oeː	o eː	rounded close-mid back vowel	poeːʐ
oi	oi	from rounded close-mid back to unrounded close front diphthong	loi_tah_riʃtah, ʂoiʃi
oiː	o iː	rounded close-mid back vowel	biːgi_ʈ͡ʂoiː, les_ʃiroiː, lewisto_ʃiroiː
oĩː	o ĩː	rounded close-mid back vowel	zoĩː
